HP:0012869	espécimen de espermatozoide acéfalo
HP:0010762	cordoma con osificación eccondral
HP:0100768	coriocarcinoma de la placenta
HP:0100768	síndrome coriocarcinoma
HP:0001139	coroideremia con atrofia
HP:0004754	fibrilación auricular crónica incapaz de convertirse a ritmo sinusal
HP:0041063	disminución crónica de igg2 circulante
HP:0005520	dic crónico
HP:0100686	entesitis crónica
HP:0011132	furunculosis cutánea crónica
HP:0100829	galactorrea crónica
HP:0006516	neumonitis por hipersensibilidad crónica
HP:0004818	hemólisis intravascular crónica en la pnh
HP:0005550	leucemia linfocítica crónica
HP:0100732	fibrosis pancreática crónica con deterioro funcional
HP:0012121	panuveítis crónica
HP:0005506	leucemia mieloide crónica en fase crónica
HP:0010771	absceso pilonidal crónico
HP:0001058	mala cicatrización crónica
HP:0012627	acumulación crónica de material pseudoexfoliante en estructuras bañadas en humor acuoso
HP:0012627	pseudoexfoliación crónica de estructuras oculares anteriores
HP:0005505	anemia crónica refractaria
HP:0040212	risus sardonicus crónico
HP:0005208	diarrea secretora crónica
HP:0012168	cabezazos crónicos autodirigidos
HP:0003835	subluxación crónica del hombro
HP:0011110	amigdalitis crónica
HP:0100279	colitis ulcerosa crónica
HP:0031088	sequedad vaginal crónica
HP:0031358	estado vegetativo crónico
HP:0012055	masa de melanoma en el cuerpo ciliar
HP:0031866	el fenómeno de la navaja se refiere al aumento del tono muscular al doblar o estirar una extremidad, en el que se produce una relajación repentina mientras se sigue estirando el músculo. este fenómeno se ha comparado con la apertura de una navaja.
HP:0004417	síntomas de claudicación
HP:0000635	ojos azules claros
HP:0031417	secreción nasal clara
HP:0031201	cilindros granulares claros u oscuros
HP:5201004	paladar duro hendido en el que la hendidura no atraviesa toda la longitud del paladar duro.
HP:5201003	paladar duro hendido en el que la hendidura atraviesa toda la longitud del paladar duro.
HP:0002744	labio leporino y paladar hendido que afectan a ambos lados de la cara.
HP:0008501	Labio leporino o paladar hendido que afecta a la región de la línea media del paladar.
HP:0000652	margen del párpado inferior hendido
HP:5201006	paladar blando hendido en el que la hendidura no atraviesa toda la longitud del paladar blando.
HP:5201005	paladar blando hendido en el que la hendidura atraviesa toda la longitud del paladar blando.
HP:0100335	hendidura del labio superior que afecta a las porciones laterales del labio superior más que a la región media/media.
HP:0040224	fenotipo clínico caracterizado por hemorragia retardada ruptura acelerada del coágulo sanguíneo
HP:0006560	manifestación clínica de la hiperplasia biliar
HP:0012317	manifestaciones clínicas de la sacroileítis
HP:0002138	presentación clínica de la hemorragia subaracnoidea
HP:0100617	presentación clínica del seminoma testicular
HP:0003153	presentación clínica: cistationinuria
HP:0003150	presentación clínica: aciduria glutárica
HP:0030849	signo clínico de mala función del corazón derecho: reflujo hepatoyugular
HP:0005723	importancia clínica: silla turca en forma de zapato
HP:0006944	sentido de la vibración abolido, confirmado clínicamente
HP:0030404	glucagonoma clínicamente manifiesta
HP:0008031	catarata y-sutural posterior clínicamente manifiesta
HP:0100798	displasia de uñas clínicamente significativa
HP:0002159	excreción clínicamente significativa de heparán sulfato en orina
HP:0002156	homocistinuria clínicamente significativa
HP:0100721	linfadenopatía mediastínica clínicamente significativa
HP:0012312	monocitopenia clínicamente significativa
HP:0040322	orina púrpura clínicamente significativa
HP:0012621	anomalía cloacogénica de la vejiga
HP:0030831	ronquidos gruesos y vibratorios
HP:0000965	cutis marmorata inducida por el frío
HP:0012425	úlcera de colon por impactación fecal
HP:0012120	aciduria combinada malónica y metilmalónica
HP:0033636	La hipertensión pulmonar pre y postcapilar combinada es una afección hemodinámica caracterizada por la elevación de la presión arterial pulmonar media, la presión arterial pulmonar en cuña y la resistencia vascular pulmonar.
HP:0011589	origen común de las arterias braquiocefálica derecha y carótida común izquierda
HP:0004563	estructura ósea espinal compacta
HP:0001334	hidrocefalia comunicante compensada
HP:0005520	dic compensado
HP:0012641	hipotensión intracraneal compensada
HP:0001950	alcalosis respiratoria compensada
HP:0001950	alcalosis respiratoria compensatoria
HP:0011516	disfunción completa de los conos
HP:0100801	aplasia pancreática completa
HP:0002025	estenosis anal compleja
HP:0011068	odontoma complejo
HP:0010770	fístula pilonidal compleja
HP:0010769	seno pilonidal complejo
HP:0005224	absceso rectal complejo
HP:0011068	odontoma compuesto
HP:0100758	circulación comprometida de las extremidades que conduce a la gangrena
HP:0001598	placa ungueal cóncava
HP:0001598	uñas cóncavas en forma de cuchara
HP:0034611	concentración de arabitol en la circulación sanguínea superior al límite superior de la normalidad.
HP:0033444	concentración de dodecanoilcarnitina en la circulación sanguínea superior al límite superior de la normalidad.
HP:0034858	la concentración o la actividad de una enzima medida en los leucocitos está por encima o por debajo de los límites de la normalidad en la circulación sanguínea.
HP:4000205	la concentración o la actividad de la beta-manosidasa medida en fibroblastos cultivados está por debajo de los límites de la normalidad.
HP:0011233	repisa conchal saliente
HP:0011233	prominencia de la plataforma conchal
HP:0005021	luxaciones bilaterales de codo concurrentes
HP:0011910	acortamiento simultáneo de todos los huesos de los dedos
HP:0030637	síndrome de disfunción cónica desde el nacimiento
HP:0008729	ausencia congénita de labios mayores
HP:0000198	ausencia congénita del conducto parotídeo
HP:0005255	ausencia congénita del músculo pectoral menor
HP:0000198	ausencia congénita del conducto de stensen
HP:0030008	Ausencia congénita del cuello uterino.
HP:0012730	ausencia congénita de lengua
HP:0012730	aglosia congénita
HP:0002025	estenosis anal congénita
HP:0011501	congenital anterior lenticonus
HP:0001746	congenital asplenia
HP:0005359	atimia congénita
HP:0004977	congenital bilateral radial aplasia
HP:0030008	congenital cervical aplasia
HP:0030752	dacriocistocele congénito
HP:0004960	defecto congénito con ausencia de arteria pulmonar
HP:0001491	congenital fibrosis extraocular muscles
HP:0100882	hamartoma fibroso congénito
HP:0100340	desviación congénita del peroné del 4º dedo del pie
HP:0006576	malformaciones vasculares hepáticas congénitas
HP:0000912	escápula alta congénita
HP:0005343	vejiga hipoplásica congénita
HP:0012097	quiste dermoide intracraneal congénito
HP:0012096	quiste epidermoide intracraneal congénito
HP:0002688	ausencia congénita de senos frontales
HP:0005950	red laríngea congénita
HP:0025486	malformación congénita: labios mayores fusionados
HP:0002251	congenital megacolon
HP:0012119	metahemoglobinemia congénita
HP:0006349	ausencia congénita de dientes
HP:0030711	hidrocolpos obstructivos congénitos
HP:0001341	ausencia congénita del lóbulo olfativo
HP:0001491	oftalmoplejia congénita con restricciones musculares múltiples
HP:0001491	oftalmoplejia congénita con restricción del movimiento ocular
HP:0031622	anomalía marrón congénita o adquirida
HP:0010610	congenital palmar pits
HP:0000125	riñón pélvico congénito
HP:0000839	enanismo hipofisario congénito
HP:0010612	fosas plantares congénitas
HP:0002000	columela corta congénita
HP:0008606	congenital supraauricular pit
HP:0002144	cordón umbilical congénito
HP:0005990	hipoplasia tiroidea congénita
HP:0003990	deformidad congénita del cúbito defecto congénito que da lugar a un hueso cúbito anormalmente puntiagudo que provoca complicaciones en la alineación y el movimiento de los huesos.
HP:0001537	hernia umbilical congénita
HP:0005254	hipoplasia torácica unilateral congénita
HP:0000013	hipoplasia uterina congénita
HP:0011595	variación vascular congénita: arco aórtico izquierdo con arteria subclavia derecha retroesofágica
HP:4000074	Uso sistemático de una forma inusual de referirse a algo que es idiosincrásico para el individuo.
HP:0008043	constricción de las arteriolas retinianas indicativa de vasoconstricción
HP:0008043	constricción de las arteriolas retinianas en el examen oftalmoscópico
HP:0030763	sábana amniótica constrictiva
HP:0002563	síndrome de pericarditis constrictiva
HP:0011589	origen convergente de las arterias braquiocefálica derecha y carótida común izquierda
HP:0010541	pliegues convolutos del cuero cabelludo
HP:0011967	deficiencia de cobre en la circulación
HP:0001648	síndrome de cor pulmonale
HP:0025311	quiste corneal de cámara anterior
HP:0012039	adelgazamiento corneal con pliegues de la membrana de descemet
HP:0003417	hendiduras coronales en las vértebras
HP:0005396	coronavirus 229e susceptibility
HP:0100036	anomalía ósea cortical con respuesta de remodelación
HP:0004734	microquistes corticales en riñón
HP:0005564	pérdida de diferenciación corticomedular
HP:0002105	tos con coágulos de sangre
HP:0005743	coxa plana en niños
HP:0005462	calcificación craneal del falx cerebri
HP:0006888	anomalía de la cavidad craneal con meningoencefalocele
HP:0100250	calcificación meníngea craneal
HP:0006888	meningoencefalocele craneal
HP:0040197	craniocerebral encephalomalacia
HP:0100280	enfermedad de crohn de colon
HP:0100280	enfermedad de crohn del intestino delgado
HP:0034588	la hiperplasia de las criptas denota el alargamiento de la longitud de las criptas de lieberkuhn, un proceso que inicialmente precede a la atrofia vellositaria. el alargamiento puede estar causado por la expansión de la lámina propia como resultado de la proliferación de células estromales, una afluencia de células inflamatorias y la remodelación del tejido.
HP:0032983	hallazgo por tomografía computarizada de una opacidad central en vidrio deslustrado rodeada de una consolidación más densa de forma semilunar o en anillo completo de al menos 2 mm de grosor. signo poco frecuente, inicialmente se informó de que era específico de la neumonía organizativa criptogénica, pero posteriormente se describió en pacientes con paracoccidioidomicosis.
HP:0002138	tomografía computarizada o resonancia magnética que muestra hemorragia subaracnoidea
HP:0031226	ct-evidente recogida de líquido perinéfrico
HP:0012315	histiocitoma cutáneo
HP:0025300	manifestación cutánea: erupción malar
HP:0012192	linfoma cutáneo de células t estadificación
HP:0000965	reacción cutis marmorata
HP:0000965	patrón cutis marmorata
HP:0001062	decoloración cianótica de los dedos
HP:0031024	cilindroma cutáneo
HP:0003131	cristales de cistina en la orina
HP:0003131	diagnóstico de la cistinuria
HP:0011505	edema macular cistoide
HP:0003805	vacuolas con borde citoplasmático
HP:0012321	aciduria d-2-hidroxiglutárica tipo ii
HP:0031348	variante anatómica d-tga
HP:0100842	trastorno de morsier
HP:0100842	displasia septo-óptica de morsier
HP:0100842	síndrome de morsier
HP:0012128	muerte de las células de los ganglios basales.
HP:0003145	disminución de adenosilcobalamina
HP:0001976	disminución de la concentración de antitrombiniii
HP:5200221	menor comodidad con el contacto físico casual
HP:0003145	disminución de la concentración de adenosilcobalamina. la adenosilcobalamina es una de las formas activas de la vitamina b12.
HP:0003223	disminución de la concentración de metilcobalamina. la metilcobalamina es una forma de vitamina b12.
HP:5200328	disminución de la expresión emocional
HP:5200213	La disminución de la expresión emocional durante las interacciones puede incluir una falta de intercambio de emociones personales o de empatía hacia los demás.
HP:5200213	disminución de la vulnerabilidad emocional
HP:0005327	disminución del movimiento facial
HP:0020062	disminución de la concentración de hgb
HP:0003184	disminución del rango de abducción de la cadera
HP:0002850	disminución de la síntesis de igm
HP:0031100	disminución del nivel de inhibina b
HP:5200316	disminución de la comunicación interpersonal
HP:0033160	Disminución del nivel de guanosina en orina. La guanosina es un nucleósido de purina en el que la guanina está unida a la ribofuranosa mediante un enlace beta-n -glucosídico.
HP:0033159	Disminución del nivel de inosina en orina. La inosina es un nucleósido de purina en el que la hipoxantina está unida a la ribofuranosa mediante un enlace beta-n -glucosídico.
HP:0040142	disminución del nivel de la reacción 5-oxo-l-prolina + atp + 2 h o = l-glutamato + adp + 2 h + fosfato.
HP:0003402	disminución del tamaño del mepp
HP:5200220	Disminución del reflejo de las expresiones faciales de otra persona durante las interacciones sociales, en comparación con el comportamiento normal de la persona.
HP:0003658	disminución de la concentración plasmática de metionina
HP:0003138	disminución de la perfusión renal
HP:4000084	Disminución del intercambio de intereses con otras personas adecuado a la cultura y al nivel de desarrollo.
HP:5200310	disminución de las interacciones sociales
HP:0002902	disminución de la concentración de sodio en la sangre
HP:0000224	disminución de la discriminación gustativa
HP:0008237	disminución de los niveles de hormona tiroidea debido a hipotiroidismo hipotalámico
HP:0003359	disminución de la excreción urinaria de sulfato
HP:0012147	disminución de la cantidad de factor von willebrand
HP:0005876	disminución de la amplitud de movimiento esta frase se utiliza a menudo para describir la pérdida de flexibilidad y la rigidez de las articulaciones que se produce en las contracturas progresivas de flexión
HP:0010762	cordoma desdiferenciado
HP:0004681	pliegue profundo del pie
HP:0000607	rítides periorbitarias profundas
HP:0003655	actividad deficiente de la n-acetilglucosaminiltransferasa ii
HP:5200128	déficit en la aplicación de las competencias lingüísticas en distintos contextos
HP:0034694	degeneración y pérdida de neruones en la sustancia negra del cerebro.
HP:0008480	espondilosis cervical degenerativa
HP:5200135	retraso en la adquisición de habilidades lúdicas
HP:0032989	retraso en la capacidad de rodar de delante hacia atrás y de atrás hacia delante.
HP:0008967	rigidez muscular retardada inducida por el ejercicio
HP:0003010	hemostasia retardada
HP:0008788	retraso en la maduración del pubis
HP:0003840	retraso en la maduración de la parte final del hueso del miembro superior
HP:0006579	retraso en la resolución de la ictericia neonatal
HP:0008639	retraso en la maduración sexual debido a hipoplasia gonadal
HP:0011412	Parto de recién nacidos mediante ventosa, un dispositivo de vacío que se utiliza para asistir el parto de un bebé cuando la segunda fase del trabajo de parto no ha progresado adecuadamente.
HP:0003890	tuberosidades deltoideas con hipertrofia
HP:0003890	tuberosidades deltoideas con proyección aumentada
HP:0011232	regalo del pliegue dennie-morgan
HP:0002461	calcificaciones densas en el núcleo dentado cerebeloso
HP:0000574	vello denso en las cejas
HP:0004563	estructura ósea densa de la columna vertebral
HP:0005671	deposición de sales de calcio en ambos lados del cerebro.
HP:0033603	depósitos situados entre la cara externa de la membrana basal glomerular y la célula epitelial visceral, con diversos grados de incorporación a la mbg. esta característica puede estar asociada a una mbg prominente que refleja un aumento de grosor difuso y relativamente uniforme .
HP:0033398	depósitos de fibras de colágeno hialinizadas en la pleura parietal .
HP:0100832	depósitos de tamaño, forma, consistencia, índice de refracción y motilidad variados en el interior del humor vítreo del ojo, que normalmente es transparente.
HP:0031357	dermal glomeruloid hemangioma
HP:0012315	histiocitoma dérmico
HP:0031549	infiltración linfocítica dérmica con granulomas de tipo sarcoide
HP:0025272	melasma dérmico
HP:0025509	manifestación dermatológica de las pápulas pedioides piezogénicas
HP:0003765	afección dermatológica caracterizada por dermatitis psoriasiforme
HP:0100847	dermatosis caracterizada por pústulas palmoplantares
HP:0000654	Disminución de la amplitud de la respuesta eléctrica en la electrorretinografía.
HP:0012127	uraciluria detectable en la recogida de orina de 24 horas
HP:0008007	anomalía del desarrollo del ángulo de la cámara anterior este término se refiere al desarrollo anormal del sistema de drenaje de los ojos que conduce al pcg
HP:0008239	anomalía del desarrollo: médula suprarrenal pequeña
HP:0005311	defecto de desarrollo con ausencia de vasos pulmonares
HP:0003304	espondilolisis de desarrollo o adquirida
HP:0011502	desarrollo del lenticono posterior
HP:0032974	desviación de la comúnmente en las personas sanas observar la distribución celular. rangos normales son los macrófagos más del 80%, linfocitos menos del 15%, neutrófilos menos del 3%, eosinófilos menos del 0,5%, mastocitos menos del 0,5%.
HP:0003076	glucosuria diabética
HP:0001325	coma diabético hipoglucémico
HP:0002036	hernia diafragmática de estómago
HP:0005019	engrosamiento diafisario
HP:0100695	lipedema resistente a la dieta y al ejercicio
HP:5200122	dificultad para comunicar las propias emociones
HP:0031352	dificultad para respirar por opresión torácica
HP:0000735	Dificultad para interactuar con los demás mediante la comunicación emocional, física o verbal.
HP:0002421	Dificultad para mantener la posición correcta de la cabeza mientras se está de pie o sentado.
HP:0011516	dificultad para ver con intensidad de luz normal
HP:0033006	El daño alveolar difuso describe un patrón histológico común de lesión pulmonar. Las fases iniciales se caracterizan por necrosis y desprendimiento de células epiteliales, exudado fibroso, edema y membranas hialinas compuestas de surfactante y proteínas que rellenan los alvéolos, lo que provoca una alteración del intercambio gaseoso. En fases posteriores, proliferan células de tipo ii y miofibroblastos en el intersticio y los espacios aéreos. la entidad clínica correspondiente es el síndrome de distrés respiratorio agudo . dad puede ser consecuencia de toxicidad pulmonar por fármacos, se produce en inmunodeprimidos, infecciones víricas graves, neumonitis intersticial aguda e inhalación de crack de cocaína.
HP:0005942	Llenado difuso de los espacios aéreos distales de los pulmones, los alvéolos, con macrófagos. la neumonitis intersticial descamativa se caracteriza además por septos alveolares engrosados y por un infiltrado inflamatorio disperso que a menudo incluye células plasmáticas y eosinófilos ocasionales. los alvéolos están revestidos por neumocitos cuboidales regordetes. puede haber agregados linfoides.
HP:0031329	fibrosis cardiaca intersticial difusa
HP:0001271	enfermedad nerviosa periférica difusa
HP:0012276	dedo índice digital
HP:0030745	aneurisma del conducto arterioso dilatado
HP:0012520	espacios de virchow-robin dilatados en la resonancia magnética
HP:0034690	Disminución de la actividad de la enzima acil-coa deshidrogenasa de cadena corta, una enzima clave de la betaoxidación de los ácidos grasos que cataliza el primer paso en la betaoxidación mitocondrial de los ácidos grasos.
HP:0011916	disminución de los reflejos del tobillo
HP:0034322	Disminución de la actividad enzimática de la galactocerebrosidasa.
HP:0100644  	uñas descoloridas
HP:0011553	anatomía de la conexión auriculoventricular discordante
HP:0011553	morfología discordante de la conexión auriculoventricular
HP:0011553	patrón de conexión auriculoventricular discordante
HP:0006153	hueso carpiano discordante
HP:0006153	hueso de la muñeca discordante
HP:0008826	luxación de la cabeza del fémur
HP:0003994	huesos de la muñeca dislocados
HP:0002280	cisterna magna desproporcionadamente grande
HP:0030866	rodilla desproporcionadamente grande
HP:0002831	coxis desproporcionadamente largo
HP:0001833	pies desproporcionadamente largos
HP:0011302	palma desproporcionadamente larga
HP:0001885	segundo dedo del pie desproporcionadamente corto
HP:0030033	dedo desproporcionadamente pequeño
HP:0000054	pene desproporcionadamente pequeño
HP:0005537	plaquetas desproporcionadamente pequeñas
HP:0030031	dedo del pie desproporcionadamente pequeño
HP:0001769	pie desproporcionadamente ancho
HP:0012810	base nasal desproporcionadamente ancha
HP:0012811	dorso nasal desproporcionadamente ancho
HP:0001169	palma desproporcionadamente ancha
HP:0004031	diáfisis radial desproporcionadamente ancha
HP:0045079	irregularidad metafisaria femoral distal en la radiografía
HP:0100279	colitis ulcerosa rectal distal
HP:0001182	dedos distales cónicos
HP:0031173	espolón tibial distal
HP:0000126	pelvis renal distendida
HP:0030711	Vagina distendida con fluido obstruido
HP:0005487	sutura metópica distinta
HP:0000635	ojos azules inconfundibles
HP:0025514	Aspecto distintivo del disco óptico en forma de embudo.
HP:0001492	rasgos iridocorneales distintivos
HP:0030018	dminución del deseo sexual en la mujer.
HP:0040322	observación documentada de la coloración púrpura de la orina
HP:0007006	degeneración de la columna dorsal en imágenes
HP:0007006	síntomas de degeneración de la columna dorsal
HP:0008648	Meato uretral dorsal este término es el opuesto a meato uretral desplazado anteriormente y describe un meato uretral situado en la punta del pene.
HP:0020041	parálisis del doble ascensor
HP:0011556	fisiología del ventrículo derecho de doble entrada
HP:0003762	útero doble: variación anatómica en el aparato reproductor femenino
HP:0010545	nistagmo descendente en la mirada lateral
HP:0000265	oído supurante por mastoiditis
HP:0030166	empapados sudores nocturnos
HP:0002307	babear mientras se duerme
HP:0001664	tdp inducido por fármacos
HP:0031246	tos seca sin mucosidad
HP:0030075	ductal carcinoma in situ
HP:0030745	riesgo de rotura del aneurisma del conducto arterioso
HP:0011592	Arteria subclavia ductus-dependiente: arco aórtico izquierdo con arteria subclavia aislada.
HP:0032514	punctum lagrimal duplicado
HP:0011901	disfibrinogenemia
HP:0000839	enanismo hipofisario disfuncional
HP:0100621	disgerminoma de ovario
HP:0005164	valvas pulmonares displásicas
HP:0005164	lesión displásica de la válvula pulmonar
HP:0005164	síndrome de la válvula pulmonar displásica
HP:0005575	hus desregulado mediado por complemento
HP:0002356	calambre distónico del escritor
HP:0100249	calcificación distrófica de los músculos
HP:0000371	otalgia por otitis media aguda
HP:0000371	otalgia por infección aguda del oído medio
HP:0006323	pérdida precoz de dientes temporales
HP:0006323	exfoliación precoz de los dientes primarios
HP:0006323	pérdida precoz de dientes de leche
HP:0040187	sepsis neonatal de inicio precoz
HP:0031024	cilindroma ecrino
HP:0031405	poroma ecrino/apocrino
HP:0011711	ecg característico del bloqueo fascicular anterior izquierdo
HP:0025449	hallazgo ecocardiográfico: músculo papilar anterolateral desplazado apicalmente
HP:0010943	intestino ecogénico en ecografía
HP:0010440	apéndice ectópico accesorio similar a un dedo del pie
HP:0011701	taquicardia auricular ectópica, multifocal
HP:0100768	coriocarcinoma ectópico
HP:0100583	tejido ectópico del iris debido a una perforación corneal
HP:0030722	nódulo hepático ectópico
HP:0030722	tejido hepático ectópico
HP:0031086	posicionamiento del ovario ectópico
HP:0100241	Epitelio respiratorio ectópico que se presenta como una lesión superficial en la piel generalmente localizada unilateralmente en la piel del antebrazo y asociada a malformaciones ipsilaterales de la mano.
HP:0008648	uretra ectópica este término indica que la uretra se ha desarrollado en el lugar equivocado, que es otra forma de describir un meato uretral desplazado anteriormente.
HP:0000964	el eccema es una forma de dermatitis. el término eccema se aplica ampliamente a una serie de afecciones persistentes de la piel y puede estar relacionado con una serie de afecciones subyacentes. las manifestaciones del eccema pueden incluir sequedad y erupciones cutáneas recurrentes con enrojecimiento, edema cutáneo, picor y sequedad, formación de costras, descamación, ampollas, grietas, supuración o sangrado.
HP:0031527	edema/acumulación de líquido en las capas retinianas.
HP:0025533	piel de naranja edematosa y fibrótica
HP:0011841	ekg hallazgo de aleteo ventricular
HP:0006677	ekg prolongado qrs
HP:0031601	ekg mostrando patrón p pulmonale
HP:0005798	articulación del codo con luxación posterior de la cabeza del radio
HP:0025259	rigidez del codo en el movimiento inicial
HP:0030449	aborto terapéutico electivo
HP:0004746	depósitos electrondensos de la membrana glomerular
HP:0001927	recuento elevado de acantocitos
HP:0034611	concentración elevada de arabitol circulante
HP:0034595	concentración circulante elevada de n-carbamil-beta-alanina
HP:0034026	concentración elevada de sacoropina circulante
HP:0003259	aclaramiento de creatinina elevado
HP:0003131	cistina elevada medida en orina
HP:0008288	glicina elevada no cetósica
HP:0005507	niveles elevados de hemoglobina barts
HP:0002910	transaminasa hepática elevada
HP:0001953	cuerpos cetónicos elevados en sangre
HP:0003231	niveles elevados de tirosina esta frase se utiliza en la literatura médica para describir el desequilibrio bioquímico observado en la hipertirosinemia
HP:0032272	Aumento del ácido n-acetilaspártico en la orina. Esta característica puede medirse mediante cromatografía de gases-espectrometría de masas.
HP:0001950	ph elevado con pco2 disminuido
HP:0001894	niveles elevados de plaquetas
HP:0000870	hormona prolactina elevada
HP:0003072	Calcio sérico elevado.
HP:0012250	depresión del segmento st elevado
HP:0012251	elevación del segmento st
HP:0100015	tercera cruz elevada
HP:0031028	suero lactescente inducido por triglicéridos elevados
HP:0003231	niveles elevados de tirosina esta frase se utiliza a menudo en entornos clínicos para describir la anomalía bioquímica encontrada en individuos con hipertirosinemia
HP:0003131	cistina urinaria elevada
HP:0003131	concentración elevada de cistina en la orina
HP:0025081	provocó la señal de darier
HP:0011728	clonus del codo provocado
HP:0002626	venas mesentéricas alargadas y tortuosas, que comprenden la imv y la smv.
HP:0004523	pelos de las cejas alargados
HP:0100718	histerectomía de urgencia por rotura uterina
HP:0002524	cataplexia emocional
HP:0100753	respuesta emocional y disfunción de la percepción
HP:0002895	carcinoma papilar de tiroides encapsulado
HP:0002930	resistencia de los órganos finales a la hormona tiroidea
HP:0030080	linfoma de burkitt endémico
HP:0006689	endocardial bacterial endocarditis
HP:0006685	fibrosis endocárdica de las válvulas cardíacas
HP:0000804	cálculos endógenos de xantina
HP:5200321	Tener prácticas sexuales más arriesgadas, experimentar un aumento significativo de la frecuencia, tener múltiples parejas sexuales o dedicar un tiempo excesivo a las actividades sexuales puede llegar a ser desproporcionado con respecto a otros aspectos de la vida de una persona.
HP:0012237	aciduria urocánica aumentada
HP:0007274	mayor vulnerabilidad a la meningitis bacteriana recurrente
HP:0002389	cavum septum pellucidum agrandado
HP:0002700	aumento del tamaño del foramen magnum
HP:0001640	sombra de corazón agrandado
HP:0001433	agrandamiento del hígado y del bazo
HP:0000771	aumento del tejido mamario masculino
HP:0012520	espacios perivasculares agrandados
HP:0008675	detección de ovarios poliquísticos agrandados
HP:0007734	agrandamiento del tejido de la glándula lagrimal
HP:0010516	agrandamiento del timo
HP:0006277	agrandamiento del páncreas debido a la multiplicación celular
HP:0002716	agrandamiento de un ganglio linfático.
HP:0033686	agrandamiento de las mitocondrias. la hipertrofia mitocondrial no es perceptible por microscopía óptica. por microscopía electrónica , las mitocondrias hipertróficas presentan cristae normales y densidad de matriz normal. por el contrario, las mitocondrias hinchadas muestran cristae hinchadas y densidad de matriz irregular en em.
HP:0005465	agrandamiento de los huesos faciales
HP:0030812	agrandamiento de las amígdalas
HP:0100686	reagudización de la entesitis
HP:0001285	tetraparesia espástica completa
HP:0003341	división de la unión epidérmica en la lámina lúcida
HP:0025272	epidermal melasma
HP:0100796	epididimo-orquitis
HP:0100532	inflamación epiescleral
HP:0005964	episodios de reducción de la temperatura corporal.
HP:0002268	crisis de distonía episódica
HP:0007200	trastorno de hipersomnia episódica
HP:0007200	síndrome de hipersomnia episódica
HP:0011110	amigdalitis episódica
HP:0000039	epispadias
HP:0025318	carcinoma epitelial de ovario
HP:0100681	duplicación esofágica de las capas musculares
HP:0002036	hernia de hiato esofágico
HP:0012859	parche de leucoplasia esofágica
HP:0031088	sequedad vaginal inducida por deficiencia de estrógenos
HP:0012461	evidencia de bacteriuria
HP:0012819	evidencia de miocarditis
HP:0100617	evidencia de seminoma testicular en el diagnóstico por imagen
HP:0025532	respuesta cutánea exagerada
HP:0000426	proyección exagerada de la raíz nasal
HP:0011094	mordida de tijera exagerada
HP:0000040	pene extremadamente largo
HP:0011417	cordón umbilical extremadamente largo
HP:0006641	costillas flotantes muy prominentes
HP:0001561	exceso de líquido amniótico
HP:0002159	exceso de excreción de heparán sulfato en la orina
HP:0002149	exceso de ácido úrico en el torrente sanguíneo
HP:0000771	exceso de tejido mamario en los varones
HP:0003072	exceso de calcio en la sangre
HP:0030789	producción excesiva de cerumen
HP:0005542	tiempo de coagulación excesivo
HP:0002831	longitud coccígea excesiva
HP:0003131	excreción excesiva de cistina en la orina
HP:0001520	tamaño fetal excesivo
HP:0033794	Crecimiento excesivo de manos y pies . Las manifestaciones típicas son el aumento del número de calzado, el agrandamiento de los pies, la opresión de los guantes y el agrandamiento de las manos.
HP:0002816	hiperextensión excesiva de la rodilla
HP:0012311	monocitosis excesiva en sangre
HP:0002487	espasmos musculares excesivos
HP:5200329	búsqueda excesiva o problemática de drogas y consumo continuado a pesar de las consecuencias perjudiciales.
HP:0002153	exceso de potasio en la sangre
HP:0000884	proyección esternal excesiva
HP:0003031	arco cubital excesivo
HP:0002149	acumulación excesiva de ácido úrico en la sangre
HP:0003988	cúbito excesivamente largo
HP:0011930	piel del pecho excesivamente elástica
HP:0006337	salida acelerada de los dientes adultos
HP:0004943	endurecimiento arterial acelerado
HP:0005184	intervalo qtc ampliado
HP:0031091	dactilitis extensa de los dedos del pie
HP:0100272	conducto auditivo externo proximal al seno branquial
HP:0100272	tracto del seno branquial externo
HP:0011067	diente extra en el maxilar
HP:0033547	agregados mesangiales extracelulares compuestos de fibrillas no ramificadas, focalmente parralelas de más de 30 nm de diámetro. el término inmunotactoide se refiere a depósitos inmunes altamente organizados que aparecen como estructuras microtubulares similares a varillas en el examen ultraestructural.
HP:0002390	malformación arteriovenosa espinal extradural
HP:0030153	colangiocarcinoma extrahepático
HP:0012328	cementoma extraóseo
HP:0030424	quiste epididimario extratesticular
HP:0011094	mordida profunda extrema
HP:0011516	sensibilidad extrema a la luz
HP:0012744	acortamiento extremo de los miembros inferiores debido a aplasia femoral
HP:0001141	reducción extrema de la agudeza visual
HP:0006516	alveolitis alérgica extrínseca
HP:0100272	nervio facial próximo al seno branquial
HP:0003225	deficiencia del factor v en la coagulación
HP:0008169	deficiencia del factor vii que provoca una alteración de la coagulación sanguínea
HP:0001929	deficiencia del factor xi en la cascada de la coagulación
HP:0040234	síndrome de deficiencia de factor xiii subunidad b
HP:0100029	descenso tiroideo fallido: tiroides lingual
HP:5200035	incapacidad del niño para integrarse con sus compañeros en el juego imaginativo.
HP:0003762	Fracaso de la fusión del conducto mülleriano que da lugar a un útero doble.
HP:0002023	falta de formación del ano
