HP:0000002	Desviación de la norma de estatura con respecto a la esperada según las normas de edad y sexo.
HP:0004323	Aumento o disminución anormal del peso o distribución anormal de la masa corporal.
HP:0004324	Aumento anormal del peso corporal.
HP:0004325	Peso corporal anormalmente bajo.
HP:0004326	Pérdida grave de peso, atrofia muscular, pérdida de apetito y debilidad general relacionada con una enfermedad crónica.
HP:0004327	Cualquier anomalía estructural del cuerpo vítreo.
HP:0004328	Anomalía del segmento anterior del globo ocular (que comprende las estructuras situadas delante del humor vítreo: la córnea, el iris, el cuerpo ciliar y el cristalino).
HP:0004330	Aumento de la magnitud o cantidad de osificación del cráneo.
HP:0004331	Reducción de la magnitud o cantidad de osificación del cráneo.
HP:0004332	Una anomalía de los linfocitos.
HP:0004333	Presencia de células espumosas en la médula ósea, generalmente demostrada por aspiración de médula ósea o biopsia. Las células espumosas tienen un aspecto vacuolado debido a la presencia de depósitos de lípidos complejos, lo que les da un aspecto espumoso o de espuma de jabón.
HP:0004334	Atrofia parcial o total de la piel.
HP:0004336	Presencia de un exceso de mielina redundante en la vaina del nervio periférico.
HP:0004337	Anomalía de un proceso metabólico de aminoácidos.
HP:0004338	Cualquier desviación de la concentración normal de un aminoácido aromático en la circulación sanguínea.
HP:0004339	Cualquier desviación de la concentración normal de un aminoácido azufrado en la circulación sanguínea.
HP:0004342	Anomalía del metabolismo de los galactósidos. Un galactósido es un glucósido (una fracción de azúcar unida a otra fracción) que contiene galactosa.
HP:0004343	Una anomalía del metabolismo de los glicoesfingolípidos.
HP:0004345	Los defectos en las glicosidasas lisosomales o en los coactivadores específicos provocan la acumulación de sustratos, como los glicoesfingolípidos, incluidos los gangliósidos en la gangliosidosis GM1 (enfermedad de Tay-Sachs) y la gangliosidosis GM2 (enfermedad de Sandhoff).
HP:0004347	Reducción de la función de los músculos necesarios para generar una presión subatmosférica en la cavidad torácica durante la respiración: el diafragma, los músculos intercostales externos y la parte intercondral de los músculos intercostales internos.
HP:0004348	Este término se aplica a todos los cambios en la densidad mineral ósea que (dependiendo de la gravedad) pueden verse en las radiografías como un cambio en la densidad y/o estructura del hueso. Los cambios pueden afectar a todos los huesos del organismo, sólo a determinados huesos o sólo a partes de los huesos e incluyen la disminución de la mineralización, como puede observarse en la osteoporosis, o el aumento de la mineralización y/o osificación, como en la osteopetrosis, las exostosis o cualquier tipo de calicficaciones atópicas de diferente origen y distribución. La cantidad global de mineralización del órgano óseo puede medirse como la cantidad de materia por centímetro cúbico de los huesos, que suele medirse mediante densitometría de la columna lumbar o de la cadera. Las mediciones se suelen comunicar como g/cm3 o como puntuación Z (el número de desviaciones estándar por encima o por debajo de la media para la edad y el sexo del paciente). Hay que tener en cuenta que la medición con este método no refleja los cambios locales en otros huesos, por lo que podría no ser correcta en lo que respecta al órgano-hueso del agujero.
HP:0004349	Reducción de la densidad mineral ósea, es decir, de la cantidad de materia por centímetro cúbico de los huesos.
HP:0004352	Cualquier desviación de la concentración normal de una purina en la circulación sanguínea.
HP:0004353	Cualquier desviación de la concentración normal de una pirimidina en la circulación sanguínea.
HP:0004354	Cualquier desviación de la concentración normal de un ácido carboxílico en la circulación sanguínea.
HP:0004357	Cualquier desviación de la circulación normal de leucina en la circulación sanguínea.
HP:0004359	Desviación de la concentración normal de un ácido graso en la circulación sanguínea.
HP:0004360	Anomalía del equilibrio o del mantenimiento del equilibrio de ácidos y bases en los fluidos corporales, que da lugar a un pH anormal.
HP:0004361	Una concentración anormal de leptina en la sangre.
HP:0004362	Anomalía del sistema nervioso entérico, que comprende dos tipos de ganglios, los plexos mientérico (de Auerbach) y submucoso (de Meissner). El sistema nervioso entérico controla el movimiento intestinal, el intercambio de fluidos entre el intestino y su lumen y el flujo sanguíneo local.
HP:0004363	Cualquier desviación de la concentración normal de calcio en la circulación sanguínea.
HP:0004364	Cualquier desviación de la concentración normal de un compuesto nitrogenado en la circulación sanguínea.
HP:0004365	Cualquier desviación de la concentración normal de triptófano en la circulación sanguínea.
HP:0004368	Concentración anormalmente elevada de un compuesto de purina. Los compuestos de purina son compuestos heterocíclicos aromáticos que contienen una fracción de purina, formada por un anillo de pirimidina fusionado a un anillo de imidazol.
HP:0004369	Concentración anormalmente reducida de un compuesto de purina. Los compuestos de purina son compuestos heterocíclicos aromáticos que contienen una fracción de purina, formada por un anillo de pirimidina fusionado a un anillo de imidazol.
HP:0004370	Anomalía de la homeostasis de la temperatura.
HP:0004371	Anomalía del metabolismo de los glucosaminoglicanos.
HP:0004372	Nivel anormalmente disminuido de atención, capacidad de respuesta o vigilia.
HP:0004373	Tipo de distonía que se localiza en una parte específica del cuerpo.
HP:0004374	Pérdida de fuerza en el brazo, la pierna y, a veces, la cara en un lado del cuerpo. La hemiplejía se refiere a una pérdida de fuerza grave o completa, mientras que la hemiparesia se refiere a una pérdida de fuerza relativamente leve.
HP:0004375	Tumor (crecimiento anormal de tejido) del sistema nervioso.
HP:0004376	Familia de tumores que surgen en los restos embrionarios del sistema nervioso simpático, que incluye el neuroblastoma, el ganglioneuroblastoma y el ganglioneuroma.
HP:0004377	Neoplasias localizadas en la sangre y los tejidos hematopoyéticos (médula ósea y tejido linfático).
HP:0004378	Anomalía del canal anal.
HP:0004379	Una anomalía del nivel de fosfatasa alcalina.
HP:0004380	Deposición de sales de calcio en la válvula aórtica.
HP:0004381	Estrechamiento patológico en la región por encima de la válvula aórtica asociado a una restricción del flujo de salida del ventrículo izquierdo.
HP:0004382	Calcificación anormal de la válvula mitral.
HP:0004383	Subdesarrollo del lado izquierdo del corazón. Puede incluir atresia del orificio aórtico o mitral e hipoplasia de la aorta ascendente.
HP:0004384	Tronco arterial (gran arteria única que sale de la base del corazón y da origen a las arterias coronarias, pulmonares y sistémicas) con un tronco pulmonar corto que nace del tronco arterial y da origen a ambas arterias pulmonares.
HP:0004386	Inflamación de la parte alimentaria del sistema gastrointestinal.
HP:0004387	Inflamación del colon y del intestino delgado. Sin embargo, la mayoría de las afecciones se clasifican como enteritis (inflamación del intestino delgado) o colitis (inflamación del intestino grueso).
HP:0004388	Un colon de calibre anormalmente pequeño.
HP:0004389	Obstrucción intestinal funcional más que mecánica, asociada a manifestaciones que se asemejan a las causadas por una obstrucción intestinal, incluyendo distensión, dolor abdominal, náuseas, vómitos, estreñimiento o diarrea, en un individuo en el que se ha excluido una obstrucción mecánica.
HP:0004390	Protuberancias similares a pólipos que histológicamente son hamartomas. Pueden aparecer en todo el tracto gastrointestinal. Los pólipos hamartomatosos están compuestos por los elementos celulares normales del tracto gastrointestinal, pero tienen una arquitectura marcadamente distorsionada.
HP:0004392	Un tipo de defecto congénito de la pared abdominal anterior en el que los intestinos son evidentes a través de la pared abdominal delgada, laxa y sobresaliente en los bebés afectados.
HP:0004395	Una deficiencia en la ingesta de energía y nutrientes.
HP:0004396	Disminución de las ganas de comer.
HP:0004397	Desplazamiento anormal o malposición del ano.
HP:0004398	El término úlcera péptica hace referencia a una lesión ácido-péptica del tubo digestivo, que provoca una rotura de la mucosa que alcanza la submucosa. Las úlceras pépticas suelen localizarse en el estómago o el duodeno proximal, pero también pueden encontrarse en el esófago o el divertículo de Meckel. La infección por Helicobacter pylori y el uso de antiinflamatorios no esteroideos (AINE) o aspirina son los principales factores de riesgo de las úlceras pépticas tanto gástricas como duodenales.
HP:0004399	Atresia congénita del píloro.
HP:0004400	Anomalía del píloro.
HP:0004401	Obstrucción del intestino por meconio anormalmente espeso.
HP:0004404	Una anomalía del pezón.
HP:0004408	Anomalía de la capacidad para percibir y distinguir los olores.
HP:0004409	Una sensibilidad disminuida a los odorantes (es decir, una capacidad disminuida para percibir olores).
HP:0004411	Posicionamiento del tabique nasal hacia la derecha o hacia la izquierda en contraste con la posición normal del tabique nasal en la línea media.
HP:0004414	Una anomalía de la arteria pulmonar.
HP:0004415	Un estrechamiento o constricción anormal de la arteria pulmonar, en la arteria pulmonar principal y/o en las ramas izquierda o derecha de la arteria pulmonar.
HP:0004417	La claudicación intermitente es un síntoma de la enfermedad arterial oclusiva periférica. Tras caminar una distancia característica de cada paciente, éste experimenta dolor o calambres en las pantorrillas, los pies o los muslos, que suelen remitir al permanecer de pie.
HP:0004418	Inflamación de una vena asociada a una trombosis venosa (formación de un coágulo de sangre dentro de la vena).
HP:0004419	Episodios repetidos de inflamación de una vena asociados a trombosis venosa (formación de coágulos de sangre dentro de la vena).
HP:0004420	Formación de un coágulo de sangre en el interior de una arteria.
HP:0004421	Aumento anormal de la presión arterial sistólica.
HP:0004422	Un estrechamiento del diámetro biparietal (es decir, de la distancia transversal entre las protuberancias de los dos huesos parietales del cráneo).
HP:0004423	El cranium bifidum occultum, también conocido como marca de Catlin, es un defecto congénito de la línea media del cráneo que se presenta como una fontanela posterior agrandada en el ángulo superior posterior del hueso parietal, cerca de la intersección de las suturas sagital y lambdoidea. El cranium bifidum occultum se produce debido a un defecto en la osificación intramembranosa, un proceso mediante el cual los huesos del cráneo (frontal, parietal, temporal escamoso y occipital superiores a la sutura mendosal) se osifican bajo una membrana vascularizada hacia la línea media para cubrir el cerebro. A diferencia del cranium bifidum cysticum, el cranium bifidum occultum no presenta herniación del contenido intracraneal. A medida que el cráneo crece, el defecto del cranium bifidum occultum en la línea media se separa en forámenes parietales agrandados (EPF) bilaterales mediante un puente óseo en la línea media.
HP:0004425	Una frente con una planitud anormal.
HP:0004426	"Anomalía de la mejilla, una de las dos estructuras faciales bilaterales de tejido blando situadas en la región de la cara inferior a los ojos y entre la nariz y la oreja. \Bucal"" significa relativo a la mejilla. La mejilla forma parte del tercio medio facial"
HP:0004428	Se trata de una descripción utilizada anteriormente para describir una forma facial caracterizada por una nariz corta y respingona, boca ancha, ojos muy separados y mejillas llenas. Debido a la imprecisión de esta definición, es preferible describir estos rasgos con precisión. Se mantiene este término porque se utilizaba a menudo en el pasado, pero no debe emplearse en las nuevas anotaciones.
HP:0004429	Mayor susceptibilidad a las infecciones víricas, manifestada por episodios recurrentes de infección vírica.
HP:0004430	Tipo de inmunodeficiencia primaria que se caracteriza por un defecto más grave en los sistemas de linfocitos T y B.
HP:0004431	Inmunodeficiencia definida por el funcionamiento ausente o subóptimo de una de las proteínas del sistema del complemento.
HP:0004432	Ausencia duradera de IgG total e IgA total e IgM total en la circulación sanguínea, por lo que a lo sumo pueden medirse cantidades traza.
HP:0004433	Deficiencia de IgA secretora (polímeros de 2-4 monómeros de IgA unidos por dos cadenas adicionales) y es la principal respuesta de anticuerpos a nivel de las mucosas, donde forma complejos inmunes con patógenos y alérgenos.
HP:0004434	Concentración del componente del complemento C8 en la circulación sanguínea por debajo del límite inferior de la normalidad.
HP:0004437	Crecimiento excesivo de los huesos del cráneo, es decir, del cráneo.
HP:0004438	Sobrecrecimiento óseo de la superficie interna (endosteal) del hueso frontal.
HP:0004439	Aspecto característico resultante de una osificación defectuosa de los huesos craneofaciales.
HP:0004440	Cierre prematuro de la sutura coronal del cráneo.
HP:0004442	Un tipo de craneosinostosis que afecta a la sutura sagital.
HP:0004443	Un tipo de craneosinostosis que afecta a la sutura lambdoidal.
HP:0004444	Presencia de eritrocitos en forma de esfera.
HP:0004445	Presencia de eritrocitos elípticos en forma de cigarro en el frotis de sangre periférica.
HP:0004446	Presencia de eritrocitos con una zona de palidez central en forma de boca (estoma) en el frotis de sangre periférica.
HP:0004447	Presencia de eritrocitos de forma anormal.
HP:0004448	La insuficiencia hepática se refiere a la incapacidad del hígado para realizar sus funciones sintéticas y metabólicas normales, lo que puede dar lugar a coagulopatía y alteración del estado mental de un individuo previamente sano. La insuficiencia hepática se define como fulminante si hay aparición de encefalopatía en las 4 semanas siguientes al inicio de los síntomas en un paciente con un hígado previamente sano.
HP:0004450	Surco de la piel situado inmediatamente delante de la oreja.
HP:0004451	Etiqueta rudimentaria de tejido auricular que a menudo contiene un núcleo de cartílago y se encuentra justo detrás del pabellón auricular (parte externa de la oreja).
HP:0004452	Anomalía de los huesecillos del oído medio (tres pequeños huesos llamados martillo, yunque y estribo) que se encuentran en el oído medio y sirven para transmitir los sonidos del aire al laberinto lleno de líquido (cóclea).
HP:0004453	Afección en la que la porción superior del hélix está plegada en mayor grado de lo normal.
HP:0004458	Presencia de una dilatación de la parte interna del meato acústico externo.
HP:0004459	Crecimiento óseo benigno que sobresale de una superficie ósea dentro del conducto auditivo externo.
HP:0004461	Fosas en los lóbulos de las orejas en el lugar donde suelen perforarse las orejas para los pendientes.
HP:0004463	Falta de respuesta mensurable a la estimulación de los potenciales evocados auditivos.
HP:0004464	Lesión congénita benigna de las partes blandas postauriculares consistente en un tubo estrecho o fosa que termina en ceguera.
HP:0004466	Aumento anormal (retraso) del tiempo de conducción de la respuesta auditiva del tronco encefálico.
HP:0004467	Pequeña hendidura anterior a la inserción de la oreja.
HP:0004468	Anomalía de los anillos de cartílago hialino en forma de C, normalmente de 16 a 20, que ocupan los dos tercios anteriores de la circunferencia de la tráquea (la porción posterior del anillo se completa con tejido muscular fibroso y liso).
HP:0004469	Inflamación crónica de los bronquios.
HP:0004470	Defecto congénito en la región occipital del cráneo, cubierto por piel del cuero cabelludo y que contiene meninges o restos de tejidos gliales o neurales.
HP:0004471	Defecto del desarrollo que provoca la ausencia congénita de piel en el vértice del cuero cabelludo, a menudo justo lateral a la línea media.
HP:0004472	Hiperostosis (sobrecrecimiento óseo) de la mandíbula.
HP:0004474	La fontanela anterior suele osificarse hacia el 18º mes de vida. Se diagnostica una fontanela anterior abierta persistente si el cierre se retrasa más allá de esta edad.
HP:0004476	Defecto del desarrollo que provoca la ausencia congénita de piel en el cuero cabelludo en la zona parietal.
HP:0004481	El desarrollo progresivo de un cráneo anormalmente grande.
HP:0004482	Grado relativamente leve de macrocefalia en el que el perímetro cefálico no supera las dos desviaciones estándar de la media, pero parece desproporcionadamente grande cuando se tienen en cuenta otros factores como la estatura corporal.
HP:0004484	Asimetría de los huesos del cráneo y de la cara.
HP:0004485	Estancamiento del crecimiento cefálico que se manifiesta por un aplanamiento de la curva del perímetro cefálico.
HP:0004487	Anomalía de la forma de la cabeza caracterizada por la presencia de una cabeza corta y ancha, así como una forma puntiaguda o cónica de la parte superior de la cabeza debido al cierre prematuro de las suturas coronal y lambdoidea.
HP:0004488	La presencia de un cráneo anormalmente grande con aparición al nacer.
HP:0004490	Crecimiento excesivo de la calvaria.
HP:0004491	Un agrandamiento de la fontanela posterior en relación con las normas dependientes de la edad.
HP:0004492	Anchura anormalmente aumentada de las fontanelas y suturas craneales.
HP:0004493	Crecimiento excesivo de los huesos craneofaciales.
HP:0004502	Ausencia bilateral (atresia) de la apertura nasal posterior (choana).
HP:0004510	Hiperplasia de los islotes de Langerhans, es decir, de las regiones del páncreas que contienen sus células endocrinas.
HP:0004523	Aumento de la longitud de los pelos de las cejas.
HP:0004524	Reducción o falta de crecimiento del vello en la región temporal (es decir, alrededor de las sienes en el lado del cráneo).
HP:0004528	Reducción o falta de crecimiento del vello en una distribución generalizada.
HP:0004532	Crecimiento excesivo y aumentado de vello localizado en la región sacra.
HP:0004535	"La hipertricosis cervical anterior (HCA) o ""garganta peluda"" se refiere a la presencia de un mechón de pelo terminal en la parte anterior del cuello, justo por encima de la prominencia laríngea."
HP:0004540	Un crecimiento excesivo confluente y generalizado de pelo lanugo rubio plateado a gris al nacer.
HP:0004554	Vellosidad generalizada excesiva y anormal.
HP:0004558	Forma aplanada del cuerpo vertebral con distancia reducida entre las placas terminales vertebrales que afecta a la columna cervical.
HP:0004563	Aumento de la densidad ósea que afecta a los huesos de la columna vertebral.
HP:0004566	Aspecto bulboso de los cuerpos vertebrales anteriores, de forma que los cuerpos vertebrales tienen la mayor altura vertical anterior, así como contornos bulbosos anterosuperior-inferior.
HP:0004568	Protuberancias linguales anteriores de los cuerpos vertebrales.
HP:0004570	Aumento de la altura entre la parte superior e inferior de los cuerpos vertebrales.
HP:0004573	Anomalía de la forma de la vértebra torácica T11, en forma de cuña (estrecha hacia delante).
HP:0004576	Esclerosis (aumento de la densidad) que afecta a las placas terminales vertebrales.
HP:0004580	Concavidad excesiva de la superficie anterior de uno o varios cuerpos vertebrales.
HP:0004586	Concavidad exagerada de la superficie anterior o posterior del cuerpo vertebral, es decir, las placas terminales vertebrales superior e inferior están ahuecadas hacia dentro.
HP:0004590	Defecto del desarrollo caracterizado por el crecimiento insuficiente del sacro, que es un hueso grande y triangular situado en la base de la columna vertebral que se forma por la fusión de las vértebras sacras (S1-S5).
HP:0004592	Forma aplanada del cuerpo vertebral con distancia reducida entre las placas terminales vertebrales que afecta a la columna torácica.
HP:0004598	En los cuerpos vertebrales típicos (C3-L5) existen tres centros de osificación: un único centro de osificación en el cuerpo vertebral y uno en cada uno de los dos arcos neurales. Este término se aplica si hay centros de osificación vertebrales adicionales presentes durante el desarrollo y la maduración de la columna vertebral.
HP:0004601	La forma cerrada de espina bífida con cierre incompleto de la vértebra L5 con piel suprayacente intacta.
HP:0004602	Fusión de las vértebras cervicales C2 y C3, causada por un fallo en la segmentación o división normal de las vértebras cervicales durante las primeras semanas del desarrollo fetal, que da lugar a un cuello corto con una línea capilar baja en la parte posterior de la cabeza y una movilidad restringida de la parte superior de la columna vertebral.
HP:0004605	Falta de mineralización ósea de los cuerpos vertebrales.
HP:0004606	Falta de osificación de los cuerpos vertebrales.
HP:0004607	Protuberancias linguales anteriores de los cuerpos vertebrales torácicos inferiores.
HP:0004608	Deslocalización anterior de la densa del axis.
HP:0004610	Un estrechamiento anormal del canal espinal lumbar.
HP:0004614	La forma cerrada de espina bífida con cierre incompleto de S1 con piel suprayacente intacta.
HP:0004616	Discontinuidad del arco vertebral, es decir, de la parte posterior de una vértebra.
HP:0004617	Las vértebras de mariposa tienen una hendidura a través del cuerpo de la vértebra y una forma de embudo en los extremos.
HP:0004621	Aumento del tamaño del pedículo vertebral.
HP:0004622	Forma progresiva de disminución de la altura del disco intervertebral.
HP:0004625	Presencia de una convexidad anormal de las placas terminales superiores e inferiores de las vértebras, es decir, un abombamiento exagerado de las placas terminales vertebrales superiores e inferiores.
HP:0004629	Reducción del tamaño de las vértebras cervicales.
HP:0004630	Protuberancias linguales anteriores de los cuerpos vertebrales torácicos.
HP:0004632	Anomalía relacionada con un defecto de separación vertebral de las vértebras cervicales durante el desarrollo.
HP:0004633	Curvatura excesiva de la región torácica inferior, que da lugar a una espalda redonda o, si es grave, a una joroba.
HP:0004635	Fusión de las vértebras cervicales C5 y C6.
HP:0004639	Elevación de la proteína alfa-feto medida en el líquido amniótico.
HP:0004646	Subdesarrollo del hueso nasal.
HP:0004660	Subdesarrollo de uno o varios músculos inervados por el nervio facial (séptimo par craneal).
HP:0004661	Reducción de la fuerza del músculo frontal (situado en la frente).
HP:0004664	Hemangioma, tumor benigno de las células endoteliales vasculares, que se presenta en la región de la línea media de la cara.
HP:0004673	Un grado reducido de movimientos faciales voluntarios e involuntarios implicados en responder a los demás o expresar emociones.
HP:0004681	Depresiones longitudinales estrechas y paramedianas en la piel plantar del antepié.
HP:0004684	Giro del talón hacia fuera, lo que da lugar a un pie zambo en el que la persona camina sobre la parte interna del pie.
HP:0004686	Subdesarrollo del tercer hueso metatarsiano que da lugar a un tercer hueso metatarsiano corto (hipoplásico).
HP:0004689	Cuarto metatarsiano corto.
HP:0004690	Engrosamiento anormal del tendón de Aquiles.
HP:0004691	Sindactilia con fusión de los dedos dos y tres.
HP:0004692	Sindactilia con fusión de los dedos cuatro y cinco.
HP:0004695	Presencia de calcificaciones punteadas anormales (moteadas, en forma de puntos) en la epífisis del calcáneo.
HP:0004699	Disminución de la masa y la densidad de los huesos metatarsianos.
HP:0004704	Quinto metatarsiano corto (hipoplásico).
HP:0004712	Anomalía de la rotación normal del riñón en su desarrollo que da lugar a una orientación anormal del riñón.
HP:0004713	Insuficiencia renal aguda con resolución de las manifestaciones.
HP:0004717	Anomalía de la rotación normal del riñón en su desarrollo que da lugar a una orientación axial anormal del riñón.
HP:0004719	Aumento de la amplitud de las ondas devueltas en la ultrasonografía del riñón, que generalmente se visualiza como un aumento del brillo de la señal.
HP:0004722	Membrana basal glomerular (MBG) prominente, que refleja un aumento del grosor (estimación subjetiva) de la lámina basal del glomérulo del riñón.
HP:0004724	La presencia de cálculos (piedras) de calcio en los riñones.
HP:0004727	Defecto en la capacidad de concentrar la orina.
HP:0004729	Inflamación aguda del riñón que afecta al intersticio renal que rodea los túbulos.
HP:0004732	Reducción de la capacidad de los riñones para eliminar el ácido úrico del suero.
HP:0004734	Quistes de tamaño microscópico confinados en la corteza del riñón.
HP:0004736	Anomalía del desarrollo en la que los riñones están fusionados y localizados en el mismo lado de la línea media. Se cree que esta anomalía es el resultado de la alteración de la migración embriológica normal de los riñones.
HP:0004737	Obliteración de la luz capilar glomerular por aumento de la matriz colágena, con o sin hialinosis o células espumosas. La esclerosis afecta al 100% del penacho glomerular. En relación con otros glomérulos patentes de la muestra, el tamaño glomerular se conserva o aumenta/disminuye en no más del 50%.
HP:0004742	Anomalía del sistema colector renal.
HP:0004743	Inflamación crónica del riñón que afecta al intersticio de los riñones que rodea los túbulos.
HP:0004746	Depósitos densos de electrones en la membrana basal glomerular,
HP:0004749	Tipo de arritmia auricular caracterizada por frecuencias auriculares de entre 240 y 400 latidos por minuto y cierto grado de bloqueo de la conducción del nódulo auriculoventricular. Normalmente, la frecuencia ventricular es la mitad de la auricular. En el electrocardiograma, las ondas de aleteo auricular se observan como una actividad auricular en dientes de sierra. Fisiopatológicamente, el aleteo auricular es una forma de reentrada auricular en la que un impulso eléctrico prematuro crea un circuito autopropagado.
HP:0004751	Episodios de taquicardia ventricular de inicio y final súbitos.
HP:0004752	Forma de disociación auriculoventricular (AV) (es decir, las aurículas y los ventrículos están bajo el control de dos marcapasos distintos) de aparición congénita.
HP:0004754	La fibrilación auricular (FA) que no puede interrumpirse con éxito mediante cardioversión y la FA de larga duración (más de 1 año), en la que la cardioversión no está indicada o no se ha intentado, se denomina permanente.
HP:0004755	La taquicardia supraventricular (TSV) es un aumento anormal de la frecuencia cardiaca (más de 100 latidos por minuto en reposo) con origen por encima del nivel de los ventrículos.
HP:0004756	Taquicardia originada en los ventrículos caracterizada por una frecuencia cardíaca rápida (más de 100 latidos por minuto) y complejos QRS amplios (más de 120 ms).
HP:0004757	Episodios de fibrilación auricular que suelen durar desde varias horas hasta un día y terminan espontáneamente.
HP:0004758	Arritmias ventriculares polimórficas de morfología variableque no existen en condiciones de reposo, sino que sólo aparecen con el ejercicio físico o la administración de catecolaminas.
HP:0004762	Subdesarrollo o tamaño reducido del ventrículo derecho del corazón, a menudo debido a un número reducido de células.
HP:0004763	Forma episódica de taquicardia supraventricular con inicio y terminación bruscos.
HP:0004764	La válvula mitral mixomatosa se define como la presencia de un exceso de tejido valvular y un engrosamiento de las valvas superior a 5 mm, que da lugar a un prolapso superior a 2 mm hacia la aurícula izquierda en la vista de eje largo paraesternal.
HP:0004768	Disminución del número de pelos por unidad de superficie en la región anterior del cuero cabelludo.
HP:0004779	Cabello del cuero cabelludo frágil y fácilmente quebradizo.
HP:0004780	Crecimiento excesivo y aumentado de vello localizado en la región del codo.
HP:0004783	Presencia de múltiples pólipos en el duodeno.
HP:0004784	Presencia de múltiples pólipos juveniles en el estómago y el intestino. El término pólipos juveniles hace referencia a una histopatología especial y no a la edad de aparición, ya que el pólipo puede diagnosticarse a cualquier edad. El pólipo juvenil tiene un aspecto esférico y se caracteriza microscópicamente por el crecimiento excesivo de una lámina propia edematosa con células inflamatorias y glándulas quísticas. Los pólipos juveniles son un tipo específico de pólipos hamartomatosos.
HP:0004785	Anomalía anatómica que resulta de una rotación anormal del intestino al volver a la cavidad abdominal durante la embriogénesis.
HP:0004787	Hepatitis aguda complicada por insuficiencia hepática aguda con encefalopatía hepática que se produce menos de 8 semanas después de la aparición de la ictericia.
HP:0004788	Retención de líquidos y edema en el intestino causados por un sistema linfático comprometido.
HP:0004789	Incapacidad para digerir la lactosa.
HP:0004790	Subdesarrollo del intestino delgado.
HP:0004791	Defecto en el epitelio del esófago, esencialmente una llaga abierta en el revestimiento del esófago.
HP:0004792	Presencia de una fístula entre el perineo y el recto.
HP:0004794	Desviación de la rotación normal del intestino medio durante el desarrollo embriológico con deslocalización del intestino delgado.
HP:0004795	Protuberancias similares a pólipos que histológicamente son hamartomas localizados en el estómago.
HP:0004797	La presencia de múltiples áreas de atresia que afectan al intestino delgado.
HP:0004798	Infección recurrente del tracto gastrointestinal.
HP:0004802	Forma de anemia hemolítica que se presenta en episodios repetidos.
HP:0004804	Forma de anemia hemolítica de aparición congénita.
HP:0004808	Forma de leucemia caracterizada por la sobreproducción de una célula mieloide temprana.
HP:0004809	Bajo recuento de plaquetas asociado a aloanticuerpos plaquetarios específicos maternos.
HP:0004810	Tipo de anemia hipoplásica de aparición congénita.
HP:0004812	Tipo de LLA caracterizado por niveles elevados de linfoblastos de células B en la médula ósea y la sangre.
HP:0004813	Aparición repentina de trombocitopenia (disminución del recuento de plaquetas) en los 5-10 días siguientes a la transfusión de hemoderivados. La presentación clínica es púrpura postransfusional (PTP), con trombocitopenia grave, epistaxis y hemorragias.
HP:0004814	Tipo de anemia hemolítica inducida por la ingestión de habas.
HP:0004817	Forma de anemia hemolítica que se desencadena por la ingestión de ciertos medicamentos.
HP:0004819	Tipo de anemia hipoplásica en la que los eritrocitos tienen un volumen celular normal (el volumen corpuscular medio está dentro de los límites normales).
HP:0004820	Leucemia aguda caracterizada por la proliferación de precursores de neutrófilos y monocitos.
HP:0004821	División excesiva de los lóbulos del núcleo de un neutrófilo.
HP:0004823	Tipo de poiquilocitosis caracterizada por la presencia en la sangre de eritrocitos de tamaños variables y formas anormales.
HP:0004825	Aumento anormal de la afinidad de la hemoglobina por el oxígeno.
HP:0004826	Tipo de anemia megaloblástica que no mejora con la administración de folato. Dado que la vitamina B12 actúa favoreciendo el reciclaje del folato, la administración de vitamina B12 tampoco mejora este tipo de anemia.
HP:0004828	Tipo de síndrome mielodisplásico caracterizado por menos de un 5% de mieloblastos en la médula ósea, pero con un 15% o más de precursores de glóbulos rojos en la médula que son células anormales rellenas de hierro denominadas sideroblastos anillados.
HP:0004831	Episodios repetidos de obstrucción del flujo sanguíneo debido a un émbolo, es decir, un coágulo de sangre que se ha desplazado desde su punto de origen dentro del torrente sanguíneo.
HP:0004835	Presencia de eritrocitos de forma esférica y tamaño reducido.
HP:0004836	Tipo de leucemia mieloide aguda en la que predominan los promielocitos anormales.
HP:0004839	Forma de anemia hemolítica grave caracterizada por una morfología eritrocitaria que recuerda a la observada en pacientes tras una quemadura térmica.
HP:0004840	Tipo de anemia caracterizada por una concentración anormalmente baja de hemoglobina en los eritrocitos y un tamaño de éstos inferior al normal.
HP:0004841	Disminución de la actividad del factor XII de coagulación. El factor XII (fXII) forma parte de la vía intrínseca de la coagulación y se une al colágeno expuesto en el lugar de la lesión de la pared vascular, activado por el cininógeno y la calicreína de alto peso molecular, iniciando así la cascada de la coagulación.
HP:0004844	Tipo de anemia hemolítica en la que la prueba de Coombs es positiva.
HP:0004845	Acumulación de células blásticas hematopoyéticas primitivas transformadas, que pierden su capacidad de diferenciación y proliferación normales.
HP:0004846	Sangrado que persiste más de lo normal tras una intervención quirúrgica.
HP:0004848	Subgrupo de leucemia linfoblástica aguda que resulta de una translocación recíproca entre el oncogén ABL-1 y una región de breakpoint cluster (BCR), dando lugar a un gen de fusión, BCR-ABL, que codifica una proteína oncogénica con actividad tirosina quinasa constitutivamente activa.
HP:0004850	Episodios repetidos de formación de un coágulo en una vena profunda.
HP:0004851	Tipo de anemia megaloblástica (es decir, anemia caracterizada por la presencia de eritroblastos más grandes de lo normal) que mejora con la administración de folato.
HP:0004852	Disminución de la fosfatasa alcalina medida en los leucocitos.
