,Rank (Borda),Model,Zero-shot,Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Retrieval,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
138,139,[rubert-base-cased](https://huggingface.co/DeepPavlov/rubert-base-cased),98,1B,768,512,32.09,26.46,14.44,44.87,30.81,0.8,12.83,62.58,32.43,7.97,31.37
139,140,[Arabic-mpnet-base-all-nli-triplet](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-mpnet-base-all-nli-triplet),100,109M,768,514,35.24,29.55,15.13,44.37,28.2,-2.84,12.31,70.72,35.84,13.12,49.12
140,141,[potion-base-2M](https://huggingface.co/minishlab/potion-base-2M),99,2M,64,Infinite,36.33,31.06,12.19,42.25,31.79,0.59,11.53,70.43,37.38,23.99,49.34
141,142,[distilrubert-small-cased-conversational](https://huggingface.co/DeepPavlov/distilrubert-small-cased-conversational),100,107M,768,512,33.03,27.52,15.53,43.81,28.89,-0.61,13.11,64.46,33.51,12.76,36.2
142,143,[cai-lunaris-text-embeddings](https://huggingface.co/consciousAI/cai-lunaris-text-embeddings),-1,Unknown,1024,512,36.71,30.94,13.63,43.17,32.46,-1.46,12.65,69.98,34.38,23.49,50.14
143,144,[deberta-v1-base](https://huggingface.co/deepvk/deberta-v1-base),98,124M,768,512,32.31,26.15,13.07,45.37,29.91,-2.37,12.65,65.19,29.56,6.63,35.38
144,145,[Arabert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabert-all-nli-triplet-Matryoshka),100,135M,768,512,33.19,28.29,19.05,40.86,27.39,1.07,12.11,68.76,30.14,12.74,42.51
145,146,[Marbert-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Marbert-all-nli-triplet-Matryoshka),100,162M,768,512,32.21,26.87,14.54,41.88,26.52,-0.17,11.67,68.65,28.05,9.19,41.49
146,147,[sbert_large_mt_nlu_ru](https://huggingface.co/ai-forever/sbert_large_mt_nlu_ru),100,427M,1024,512,31.31,26.68,13.89,40.91,28.12,-0.48,13.71,65.22,34.6,8.47,35.7
147,148,[sbert_large_nlu_ru](https://huggingface.co/ai-forever/sbert_large_nlu_ru),100,427M,1024,512,30.16,25.5,13.22,40.66,28.54,0.56,13.7,62.84,32.13,7.8,30.07
148,149,[ternary-weight-embedding](https://huggingface.co/malenia1/ternary-weight-embedding),-1,98M,1024,512,31.19,26.71,12.65,39.03,24.85,0.92,12.14,64.88,32.09,10.63,43.16
149,150,[jina-embeddings-v2-base-en](https://huggingface.co/jinaai/jina-embeddings-v2-base-en),100,137M,768,8192,28.1,24.27,0.9,34.2,22.05,-1.64,10.39,68.24,31.6,10.7,42.03
150,151,[lodestone-base-4096-v1](https://huggingface.co/Hum-Works/lodestone-base-4096-v1),100,Unknown,768,Unknown,,,,,,,,,,,
151,152,[bge-multilingual-gemma2](https://huggingface.co/BAAI/bge-multilingual-gemma2),93,9B,3584,8192,,,,,,,,,,,
152,153,[text-embedding-004](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),99,Unknown,768,2048,,,,,,2.33,,,,,
153,154,[voyage-law-2](https://blog.voyageai.com/2024/04/15/domain-specific-embeddings-and-retrieval-legal-edition-voyage-law-2/),100,Unknown,1024,16000,,,,,,,,,,,
154,155,[text-embedding-005](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings),99,Unknown,768,2048,,,,,,,,,,,
155,156,[text-embedding-ada-002](https://openai.com/index/new-and-improved-embedding-model/),-1,Unknown,1536,8191,,,,,,,,,,,
156,157,[voyage-3-m-exp](https://huggingface.co/voyageai/voyage-3-m-exp),92,6B,2048,32000,,,,,,,,,,,
157,158,[voyage-code-2](https://blog.voyageai.com/2024/01/23/voyage-code-2-elevate-your-code-retrieval/),100,Unknown,1536,16000,,,,,,,,,,,
158,159,[mini-gte](https://huggingface.co/prdev/mini-gte),100,66M,768,512,,,,,,,,,,,
159,160,[voyage-2](https://blog.voyageai.com/2023/10/29/voyage-embeddings/),100,Unknown,1024,4000,,,,,,,,,,,
160,161,[inf-retriever-v1-1.5b](https://huggingface.co/infly/inf-retriever-v1-1.5b),96,1B,1536,32768,,,,,,,,,,62.96,
161,162,[SONAR](https://ai.meta.com/research/publications/sonar-sentence-level-multimodal-and-language-agnostic-representations/),100,Unknown,1024,512,,,,,,,,,,,
162,163,[sentence-t5-xl](https://huggingface.co/sentence-transformers/sentence-t5-xl),100,3B,768,512,,,,,,,,,,,
163,164,[sentence-t5-xxl](https://huggingface.co/sentence-transformers/sentence-t5-xxl),100,11B,768,512,,,,,,,,,,,
164,165,[sentence-t5-large](https://huggingface.co/sentence-transformers/sentence-t5-large),100,335M,768,512,,,,,,,,,,,
165,166,[voyage-code-3](https://blog.voyageai.com/2024/12/04/voyage-code-3/),100,Unknown,1024,32000,,,,,,,,,,,
166,167,[LENS-d8000](https://huggingface.co/yibinlei/LENS-d8000),94,7B,8000,32768,,,,,,,,,,,
167,168,[LENS-d4000](https://huggingface.co/yibinlei/LENS-d4000),94,7B,4000,32768,,,,,,,,,,,
168,169,[bge-en-icl](https://huggingface.co/BAAI/bge-en-icl),93,7B,4096,32768,,,,,,,,,,,
169,170,[Zeta-Alpha-E5-Mistral](https://huggingface.co/zeta-alpha-ai/Zeta-Alpha-E5-Mistral),95,7B,4096,32768,,,,,,,,,,,
170,171,[bge-large-en](https://huggingface.co/BAAI/bge-large-en),99,335M,1024,512,,,,,,-2.37,,,,,
171,172,[gme-Qwen2-VL-7B-Instruct](https://huggingface.co/Alibaba-NLP/gme-Qwen2-VL-2B-Instruct),100,8B,3584,32768,,,,,,,,,,,
172,173,[gme-Qwen2-VL-2B-Instruct](https://huggingface.co/Alibaba-NLP/gme-Qwen2-VL-2B-Instruct),100,2B,1536,32768,,,,,,,,,,,
173,174,[bge-base-en](https://huggingface.co/BAAI/bge-base-en),99,109M,768,512,,,,,,-3.11,,,,,
174,175,[cde-small-v2](https://huggingface.co/jxm/cde-small-v1),94,306M,768,512,,,,,,,,,,,
175,176,[mxbai-embed-2d-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-2d-large-v1),100,335M,768,512,,,,,,,,,,,
176,177,[LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-supervised),98,7B,4096,8192,,,,,,,,,,,
177,178,[ember-v1](https://huggingface.co/llmrails/ember-v1),-1,335M,1024,512,,,,,,,,,,,
178,179,[sentence-t5-base](https://huggingface.co/sentence-transformers/sentence-t5-base),100,110M,768,512,,,,,,,,,,,
179,180,[LLM2Vec-Sheared-LLaMA-mntp-supervised](https://huggingface.co/McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-supervised),98,7B,4096,32768,,,,,,,,,,,
180,181,[Giga-Embeddings-instruct](https://huggingface.co/ai-sage/Giga-Embeddings-instruct),-1,2B,2048,32768,,,,,,,,,,,
181,182,[gte-modernbert-base](https://huggingface.co/Alibaba-NLP/gte-modernbert-base),99,149M,768,8192,,,,,,,,,,,
182,183,[cde-small-v1](https://huggingface.co/jxm/cde-small-v1),94,281M,768,512,,,,,,,,,,,
183,184,[gte-base-en-v1.5](https://huggingface.co/Alibaba-NLP/gte-base-en-v1.5),-1,137M,768,8192,,,,,,,,,,,
184,185,[voyage-large-2](https://blog.voyageai.com/2023/10/29/voyage-embeddings/),100,Unknown,1536,16000,,,,,,,,,,,
185,186,[inf-retriever-v1](https://huggingface.co/infly/inf-retriever-v1),96,7B,3584,32768,,,,,,,,,,,
186,187,[Titan-text-embeddings-v2](https://huggingface.co/amazon/Titan-text-embeddings-v2),-1,Unknown,Unknown,Unknown,,,,,,,,,,,
187,188,[modernbert-embed-base](https://huggingface.co/nomic-ai/modernbert-embed-base),96,149M,768,8192,,,,,,,,,,,
188,189,[voyage-finance-2](https://blog.voyageai.com/2024/06/03/domain-specific-embeddings-finance-edition-voyage-finance-2/),100,Unknown,1024,32000,,,,,,,,,,,
189,190,[bge-small-en](https://huggingface.co/BAAI/bge-small-en),99,33M,512,512,,,,,,,,,,,
190,191,[static-retrieval-mrl-en-v1](https://huggingface.co/sentence-transformers/static-retrieval-mrl-en-v1),99,31M,1024,Unknown,,,,,,,,,,,
191,192,[gtr-t5-xxl](https://huggingface.co/sentence-transformers/gtr-t5-xxl),100,4B,768,512,,,,,,,,,,,
192,193,[gtr-t5-xl](https://huggingface.co/sentence-transformers/gtr-t5-xl),100,1B,768,512,,,,,,,,,,,
193,194,[LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Llama-2-7b-chat-hf-mntp-unsup-simcse),100,7B,4096,32768,,,,,,,,,,,
194,195,[LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Meta-Llama-3-8B-Instruct-mntp-unsup-simcse),100,7B,4096,8192,,,,,,,,,,,
195,196,[gtr-t5-base](https://huggingface.co/sentence-transformers/gtr-t5-base),100,110M,768,512,,,,,,,,,,,
196,197,[gtr-t5-large](https://huggingface.co/sentence-transformers/gtr-t5-large),100,335M,768,512,,,,,,,,,,,
197,198,[LLM2Vec-Sheared-LLaMA-mntp-unsup-simcse](https://huggingface.co/McGill-NLP/LLM2Vec-Sheared-LLaMA-mntp-unsup-simcse),100,7B,4096,32768,,,,,,,,,,,
198,199,[stella-large-zh-v3-1792d](https://huggingface.co/dunzhang/stella-large-zh-v3-1792d),100,Unknown,1792,512,,,,,,,,,,,
199,200,[stella-base-zh-v3-1792d](https://huggingface.co/infgrad/stella-base-zh-v3-1792d),100,Unknown,1792,512,,,,,,,,,,,
200,201,[MicroLlama-text-embedding](https://huggingface.co/keeeeenw/MicroLlama-text-embedding),100,272M,1024,2048,,,,,,,,,,,
201,202,[FRIDA](https://huggingface.co/ai-forever/FRIDA),84,823M,1536,512,,,,,,,,,,,
202,203,[Dmeta-embedding-zh-small](https://huggingface.co/DMetaSoul/Dmeta-embedding-zh-small/),-1,74M,768,1024,,,,,,,,,,,
203,204,[xiaobu-embedding-v2](https://huggingface.co/lier007/xiaobu-embedding-v2),-1,326M,768,512,,,,,,,,,,,
204,205,[zpoint_large_embedding_zh](https://huggingface.co/iampanda/zpoint_large_embedding_zh),99,326M,1792,512,,,,,,,,,,,
205,205,[BERTA](https://huggingface.co/sergeyzh/BERTA),100,128M,768,512,,,,,,,,,,,
206,207,[Conan-embedding-v1](https://huggingface.co/Classical/Yinka),-1,326M,768,512,,,,,,,,,,,
207,208,[gte-base-zh](https://huggingface.co/thenlper/gte-base-zh),-1,102M,1024,512,,,,,,,,,,,
208,208,[bge-base-zh-v1.5](https://huggingface.co/BAAI/bge-base-zh-v1.5),100,109M,768,512,,,,,,,,,,,
209,210,[bge-large-zh-v1.5](https://huggingface.co/BAAI/bge-large-zh-v1.5),100,335M,1024,512,,,,,,,,,,,
210,211,[piccolo-base-zh](https://huggingface.co/sensenova/piccolo-base-zh),-1,Unknown,768,512,,,,,,,,,,,
211,212,[MiniCPM-Embedding](https://huggingface.co/openbmb/MiniCPM-Embedding),-1,2B,2304,512,,,,,,,,,,,
212,213,[piccolo-large-zh-v2](https://huggingface.co/sensenova/piccolo-large-zh-v2),-1,Unknown,1024,512,,,,,,,,,,,
213,214,[m3e-base](https://huggingface.co/moka-ai/m3e-base),99,102M,768,512,,,,,,,,,,,
214,215,[Yinka](https://huggingface.co/Classical/Yinka),-1,326M,1024,512,,,,,,,,,,,
215,216,[gte-large-zh](https://huggingface.co/thenlper/gte-large-zh),-1,326M,1024,512,,,,,,,,,,,
216,217,[rubert-mini-frida](https://huggingface.co/sergeyzh/rubert-mini-frida),100,32M,312,2048,,,,,,,,,,,
217,218,[xiaobu-embedding](https://huggingface.co/lier007/xiaobu-embedding),-1,326M,1024,512,,,,,,,,,,,
218,219,[stella-mrl-large-zh-v3.5-1792d](https://huggingface.co/dunzhang/stella-mrl-large-zh-v3.5-1792d),100,326M,1792,512,,,,,,,,,,,
219,220,[text2vec-base-chinese](https://huggingface.co/shibing624/text2vec-base-chinese),100,102M,768,512,,,,,,,,,,,
220,221,[m3e-large](https://huggingface.co/moka-ai/m3e-large),99,Unknown,768,512,,,,,,,,,,,
221,222,[gte-small-zh](https://huggingface.co/thenlper/gte-small-zh),-1,30M,1024,512,,,,,,,,,,,
222,222,[bge-small-zh-v1.5](https://huggingface.co/BAAI/bge-small-zh-v1.5),100,33M,512,512,,,,,,,,,,,
223,224,[bge-large-zh](https://huggingface.co/BAAI/bge-large-zh),100,335M,1024,512,,,,,,,,,,,
224,225,[sbert-chinese-general-v1](https://huggingface.co/DMetaSoul/sbert-chinese-general-v1),99,Unknown,128,512,,,,,,,,,,,
225,226,[bge-base-zh](https://huggingface.co/BAAI/bge-base-zh),100,109M,768,512,,,,,,,,,,,
226,227,[bge-small-zh](https://huggingface.co/BAAI/bge-small-zh),100,33M,512,512,,,,,,,,,,,
227,228,[cai-stellaris-text-embeddings](https://huggingface.co/consciousAI/cai-stellaris-text-embeddings),-1,Unknown,768,514,,,,,,,,,,,
228,229,flan-t5-large,100,783M,Unknown,1024,,,,,,4.72,,,,,
229,230,monot5-3b-msmarco-10k,-1,Unknown,Unknown,Unknown,,,,,,2.53,,,,,
230,231,[Tooka-SBERT](https://huggingface.co/PartAI/Tooka-SBERT),100,353M,1024,512,,,,,,,,,,,
231,232,[e5-R-mistral-7b](https://huggingface.co/BeastyZ/e5-R-mistral-7b),99,7B,Unknown,32768,,,,,,,,,,,
232,233,[Arabic-Triplet-Matryoshka-V2](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-Triplet-Matryoshka-V2),100,135M,768,768,,,,,,,,,,,
233,234,[fabert](https://huggingface.co/sbunlp/fabert),100,124M,768,512,,,,,,,,,,,
234,235,[TookaBERT-Base](https://huggingface.co/PartAI/TookaBERT-Base),100,122M,768,512,,,,,,,,,,,
235,235,[bert-base-parsbert-uncased](https://huggingface.co/HooshvareLab/bert-base-parsbert-uncased),100,162M,768,512,,,,,,,,,,,
236,237,flan-t5-base,100,248M,768,Unknown,,,,,,0.64,,,,,
237,238,monot5-base-msmarco-10k,-1,Unknown,Unknown,Unknown,,,,,,-1.74,,,,,
238,239,[bert-zwnj-wnli-mean-tokens](https://huggingface.co/m3hrdadfi/bert-zwnj-wnli-mean-tokens),100,118M,768,512,,,,,,,,,,,
239,240,[roberta-zwnj-wnli-mean-tokens](https://huggingface.co/m3hrdadfi/roberta-zwnj-wnli-mean-tokens),100,118M,768,514,,,,,,,,,,,
240,240,[mxbai-embed-xsmall-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-xsmall-v1),100,24M,384,512,,,,,,,,,,,
241,242,[bm25s](https://github.com/xhluca/bm25s),-1,Unknown,Unknown,Unknown,,,,,,,,,,,
242,243,monobert-large-msmarco,-1,Unknown,Unknown,Unknown,,,,,,-3.47,,,,,
243,244,[sentence-transformer-parsbert-fa](https://huggingface.co/myrkur/sentence-transformer-parsbert-fa),100,162M,768,512,,,,,,,,,,,
244,245,[text2vec-base-chinese-paraphrase](https://huggingface.co/shibing624/text2vec-base-chinese-paraphrase),100,118M,768,512,,,,,,,,,,,
245,246,[Qodo-Embed-1-7B](https://huggingface.co/Qodo/Qodo-Embed-1-7B),-1,7B,3584,32768,,,,,,,,,,,
246,247,[m3e-small](https://huggingface.co/moka-ai/m3e-small),99,Unknown,512,512,,,,,,,,,,,
247,248,[Qodo-Embed-1-1.5B](https://huggingface.co/Qodo/Qodo-Embed-1-1.5B),-1,1B,1536,32768,,,,,,,,,,,
