HP:0000002	Altura corporal anormal
HP:0005917	Huesos extra largos de la mano
HP:0005922	Forma anormal de la mano
HP:0005928	Fusión ósea de los huesos de la pantorrilla
HP:0005929	Fusión ósea de la tibia
HP:0005943	Interrupción de la respiración
HP:0005954	Hemangiomas pulmonares
HP:0005959	Gluconeogénesis alterada
HP:0005973	Malabsorción de fructosa
HP:0005974	Ketoacidosis, episodic
HP:0005979	Cetoacidosis por inanición
HP:0005982	Deficiencia de fenilalanina hidroxilasa
HP:0005987	Bocio multinodular
HP:0005988	Tortícolis congénita
HP:0005994	Bocio nodular
HP:0006006	Degeneración de los músculos pequeños de la mano
HP:0006008	Dígitos cortos en un lado
HP:0006011	Hueso largo de la mano, corto y en forma de cubo
HP:0006012	Vástago ancho del hueso largo de la mano
HP:0006014	Huesos de la muñeca con forma anormal
HP:0006019	Disminución del espacio en la articulación de bisagra
HP:0006026	Parte terminal redondeada del hueso
HP:0006035	Parte final cónica de los huesos digitales 2 a 5
HP:0006040	Largo 2º hueso largo de la mano
HP:0006042	Hueso largo de la mano en forma de Y
HP:0006045	Huesos digitales cortos y puntiagudos
HP:0006048	Extremo exterior ancho del hueso largo
HP:0006060	Huesos digitales internos en forma de lápida
HP:0006064	Movimiento limitado de las articulaciones
HP:0006067	Múltiples centros de osificación del carpo
HP:0006070	Contracturas de las articulaciones metacarpo-falángicas
HP:0006089	Sudoración excesiva de las manos
HP:0006092	Alineación incorrecta del hueso de la muñeca
HP:0006094	Aumento de la movilidad de la articulación del dedo
HP:0006095	Puntas anchas del hueso digital más externo
HP:0006101	Sindactilia parcial
HP:0006108	Huesos largos cónicos de la mano
HP:0006114	Varias líneas de palma
HP:0006127	Hueso interno largo del dedo
HP:0006129	Huesos digitales en forma de baqueta
HP:0006134	Agrandamiento de la extremidad del hueso largo de la mano
HP:0006140	Fusión prematura de la parte final del hueso digital
HP:0006143	Pliegues anormales en la flexión de los dedos
HP:0006144	Acortamiento de todos los huesos internos de los dedos
HP:0006145	Huesos largos centrales de la mano en forma de Y
HP:0006146	Extremidad ancha del hueso largo de la mano
HP:0006155	Hueso largo del dedo
HP:0006157	Línea de vida prominente
HP:0006160	Huesos largos de la mano irregulares
HP:0006161	Hueso largo y corto de la mano con extremos internos redondeados
HP:0006162	Inflamación de los tejidos blandos de las articulaciones de bisagra
HP:0006165	Acortamiento proporcional de todos los dígitos
HP:0006166	Huesos largos de la mano de forma cilíndrica
HP:0006167	Articulaciones prominentes en el interior de las bisagras
HP:0006169	Disminución de la movilidad 3º-5º dedos
HP:0006170	Hueso externo en forma de peón de ajedrez
HP:0006172	Parte terminal aplanada y cuadrada de los huesos tubulares
HP:0006175	Engrosamiento del tejido conjuntivo del hueso más interno del dedo
HP:0006176	Dos centros de osificación del carpo presentes al nacer
HP:0006180	Apretamiento de los huesos de la muñeca
HP:0006185	Articulación de bisagra interior agrandada
HP:0006192	Hueso cónico del dedo
HP:0006193	Huesos medios de la mano en forma de dedal
HP:0006200	Hueso más externo de la extremidad ensanchado
HP:0006201	Aumento de la movilidad de la articulación de bisagra más externa
HP:0006203	Disminución de la amplitud de movimiento en las articulaciones en bisagra
HP:0006205	Huesos de los dedos irregulares
HP:0006209	Ausencia parcial-completa del 5º hueso digital
HP:0006216	Pliegue interfalángico simple del quinto dedo
HP:0006217	Movilidad limitada de la articulación de bisagra más interna
HP:0006236	Huesos largos y delgados de la mano
HP:0006237	Articulaciones de bisagra prominentes
HP:0006247	Articulaciones de bisagra agrandadas
HP:0006253	Hinchazón de las articulaciones más internas de las bisagras
HP:0006256	Anomalía de la movilidad de la articulación de la mano
HP:0006257	Maduración ósea anormal de la muñeca
HP:0006263	Anomalía de la parte final del hueso del dedo índice
HP:0006266	Placenta pequeña
HP:0006270	Bazo subdesarrollado
HP:0006278	Localización anormal del páncreas
HP:0006280	Inflamación crónica del páncreas
HP:0006298	Hemorragia prolongada tras una extracción dental
HP:0006332	Diente frontal superior extra
HP:0006361	Parte final del fémur irregular
HP:0006367	Huesos largos arrugados
HP:0006370	Calcificaciones epifisarias distales cubitales
HP:0006375	Muslo en forma de mancuerna
HP:0006379	Hipopolasia tibial proximal
HP:0006392	Aumento de la densidad de los huesos largos
HP:0006394	Pronación/supinación limitada del antebrazo
HP:0006400	Pieza final de rodilla ausente
HP:0006402	Parte externa de las extremidades corta
HP:0006406	Extremo interno del fémur en forma de garrote
HP:0006407	Extremo exterior del fémur irregular
HP:0006408	Conicidad del extremo más externo del fémur
HP:0006434	Acortamiento radial proximal
HP:0006439	Dislocación de la articulación radiocubital
HP:0006440	Aumento de la densidad del eje del hueso largo
HP:0006453	Cabezas femorales desplazadas lateralmente
HP:0006462	Desmineralización ósea generalizada
HP:0006467	Movimiento limitado del hombro
HP:0006504	Anomalía del eje del hueso largo de las extremidades
HP:0006508	Anomalía de la parte final de la tibia
HP:0006511	Estertor laríngeo
HP:0006521	Linfangiectasia pulmonar
HP:0006522	Neumotórax repetido
HP:0006528	Enfermedad pulmonar crónica
HP:0006539	Subdesarrollo del cartílago bronquial
HP:0006548	Malformación AV pulmonar
HP:0006549	Disgenesia pulmonar primaria, unilateral
HP:0006554	Insuficiencia hepática aguda
HP:0006555	Esteatosis hepática difusa
HP:0006559	Calcificaciones hepáticas
HP:0006560	Hiperplasia del conducto biliar
HP:0006568	Aumento del contenido de glucógeno hepático
HP:0006573	Hígado graso agudo
HP:0006574	Malformación arteriovenosa hepática
HP:0006576	Malformaciones vasculares hepáticas
HP:0006580	Fibrosis portal mostrada en la biopsia
HP:0006583	Insuficiencia hepática mortal en la infancia
HP:0006587	Clavícula recta
HP:0006589	Ensanchamiento de la caja torácica inferior
HP:0006590	Suturas esternales cerradas prematuramente
HP:0006591	Aplasia de la fosa glenoidea
HP:0006596	Movimiento torácico restringido
HP:0006603	Extremos de las costillas abocinados e irregulares
HP:0006606	Márgenes costocondrales irregulares
HP:0006608	Parte media de la clavícula subdesarrollada
HP:0006611	Disminución del número de centros de osificación esternal
HP:0006615	Ausencia de calcificación costal en el útero
HP:0006623	Articulaciones costocondrales escleróticas
HP:0006625	Cáncer de mama multifocal
HP:0006634	Aumento de la densidad ósea en las costillas
HP:0006638	Falta de la parte media de la clavícula
HP:0006640	Fracturas costales múltiples
HP:0006641	Costillas flotantes prominentes
HP:0006642	Grandes centros de osificación esternal
HP:0006643	Centros de osificación esternal fusionados
HP:0006645	Clavícula fina
HP:0006646	Osificación cartilaginosa de la costilla
HP:0006649	Dolor en la unión costocondral
HP:0006650	Engrosamiento del borde lateral del omóplato
HP:0006659	Hombros con rotación interna
HP:0006665	Señal de percha en las costillas
HP:0006685	Fibrosis endomiocárdica
HP:0006689	Endocarditis infecciosa
HP:0006690	Miocardio calcificado
HP:0006698	Aneurisma ventricular
HP:0006705	Anomalía de las válvulas auriculoventriculares
HP:0006729	Quimiodectoma retroperitoneal
HP:0006735	Adenoma cortical renal
HP:0006737	Feocromocitoma extraadrenal
HP:0006739	Carcinoma escamoso de piel
HP:0006740	Carcinoma vesical de células transicionales
HP:0006751	Paraspinal neurofibromas
HP:0006768	Neuroblastoma localizado
HP:0006769	Tumores mixoides subcutáneos
HP:0006770	Carcinoma de células renales no papilar
HP:0006771	Cáncer de duodeno
HP:0006780	Cáncer de paratiroides
HP:0006785	distrofia muscular de cinturas de extremidades
HP:0006794	Pérdida de la capacidad de andar en la primera década
HP:0006799	Lesiones quísticas en los ganglios basales
HP:0006808	Hipomielinización del cerebro
HP:0006821	Polymicrogyria, anterior to posterior gradient
HP:0006827	Degeneración de la médula espinal
HP:0006844	Ausencia del reflejo rotuliano
HP:0006850	Protuberancia ventral subdesarrollada
HP:0006851	Neurofibromas de raíz nerviosa espinal, simétricos, múltiples
HP:0006852	Hipotonía generalizada episódica
HP:0006858	Pérdida sensorial distal de la propiocepción
HP:0006866	Lipomas de la línea media del SNC
HP:0006879	Atrofia cerebelopontina
HP:0006880	Hemangioblastoma cerebeloso esporádico
HP:0006886	Disminución del sentido distal de la vibración
HP:0006892	Atrofia cerebral frontotemporal
HP:0006896	Alucinaciones al despertar
HP:0006913	Degeneración del córtex frontal
HP:0006915	Incapacidad para caminar en la infancia/adolescencia
HP:0006916	Acumulación intraaxonal de perfiles curvilíneos
HP:0006931	Lipoma del cuerpo calloso
HP:0006934	Nistagmo congénito
HP:0006944	Apalestesia
HP:0006958	Potenciales auditivos evocados del tronco encefálico anómalos
HP:0006960	Plexo coroideo calcificado
HP:0006962	Marcha inestable, peor en la oscuridad
HP:0006970	PVL
HP:0006977	Trastorno gramatical del habla
HP:0006980	Leucoencefalopatía progresiva
HP:0006999	Gliosis en los ganglios basales
HP:0007009	Degeneración del SNC
HP:0007011	Parálisis del nervio troclear
HP:0007015	Deficiencia motora gruesa
HP:0007017	Olvido
HP:0007021	Ausencia de sensación de dolor
HP:0007023	Antenatal intracerebral haemorrhage
HP:0007029	Aneurisma sacular cerebral
HP:0007034	Hiperreflexia generalizada
HP:0007035	Encefalocele sincipital
HP:0007036	Tracto olfativo subdesarrollado
HP:0007054	Hiperreflexia proximal
HP:0007063	Ausencia de la mitad inferior del vermis cerebeloso
HP:0007065	Desorganización del vermis cerebeloso anterior
HP:0007067	Neuropatía sensorial periférica distal
HP:0007096	Tracto óptico subdesarrollado
HP:0007103	Hipointensidades de la sustancia blanca en la RM
HP:0007115	Encefalocele orbitario
HP:0007133	Polineuropatía progresiva
HP:0007149	Atrofia muscular distal del miembro superior
HP:0007158	Rigidez extrapiramidal progresiva
HP:0007164	Habla lenta y arrastrada
HP:0007166	Movimientos involuntarios distónicos o coreiformes
HP:0007178	Neuropatía motora periférica
HP:0007181	Atrofia muscular interósea
HP:0007183	Lesiones hiperintensas en los ganglios basales en IRM
HP:0007201	Acumulación de placa en la arteria cerebral
HP:0007215	Parálisis periódica hiperpotasémica
HP:0007238	Calcificación cerebral no arteriosclerótica
HP:0007240	Ataxia progresiva de la marcha
HP:0007249	Disminución del número de pequeñas fibras nerviosas mielinizadas periféricas
HP:0007267	Neuropatía axonal sural crónica
HP:0007272	Deterioro mental y motor progresivo
HP:0007281	Detención del desarrollo
HP:0007289	Fasciculación de las extremidades
HP:0007301	Oral-motor apraxia
HP:0007305	Desmielinización de la sustancia blanca central
HP:0007311	Caminar arrastrando los pies
HP:0007313	Degeneración neuroaxonal del cerebro
HP:0007321	Hipodensidades de la sustancia blanca cerebral profunda
HP:0007325	Distonía generalizada
HP:0007330	Encefalocele frontal
HP:0007332	Convulsiones hemifaciales
HP:0007335	Encefalopatía cerebelosa y extrapiramidal recurrente
HP:0007343	Malformación límbica
HP:0007344	Cambios atróficos y degenerativos en la médula espinal
HP:0007350	Hiperreflexia en miembros superiores
HP:0007351	Temblor postural de brazos
HP:0007354	Enfermedad de Lou Gehrig
HP:0007361	Anomalía del puente de Varolio
HP:0007366	Atrofia del tronco encefálico
HP:0007367	Atrofia/Degeneración que afecta al SNC
HP:0007373	Degeneración de la motoneurona
HP:0007375	Anomalía del septum pellucidum
HP:0007377	Anomalía de los SSEP
HP:0007387	Glándulas sudoríparas poco desarrolladas
HP:0007392	Piel excesivamente arrugada
HP:0007395	Ictiosis de aparición postnatal
HP:0007396	Sensibilidad al sol desde una edad temprana
HP:0007403	Piel gruesa de las plantas
HP:0007404	Queratodermia palmoplantar no epidérmica
HP:0007407	Arrugas excesivas en el dorso de las manos y los dedos
HP:0007413	Mancha de vino de Oporto en la frente
HP:0007414	Piel arrugada de manos y pies en recién nacidos
HP:0007417	Lupus eritematoso discoide
HP:0007418	Alopecia total
HP:0007421	Telangiectasias en las mejillas
HP:0007432	Erupción papular eritematosa generalizada intermitente
HP:0007434	Hemangioma, facial, en placa
HP:0007439	Queratosis folicular generalizada
HP:0007440	Hiperpigmentación generalizada
HP:0007452	Hemangioma capilar mediofacial
HP:0007462	Las manchas de Bitot
HP:0007464	Vello facial escaso
HP:0007469	Cutis gyrata de palmas y plantas
HP:0007482	Lesiones papilares generalizadas
HP:0007497	Hiperqueratosis palmoplantar focal por fricción
HP:0007499	Infecciones estafilocócicas recurrentes
HP:0007502	Hiperqueratosis folicular
HP:0007503	Ictiosis generalizada
HP:0007506	Falta de piel en las extremidades desde el nacimiento
HP:0007509	Hipopigmentación e hiperpigmentación parcheadas
HP:0007516	Piel sobrante en los dedos
HP:0007522	Aumento del número de pliegues cutáneos
HP:0007537	Sensibilidad solar grave
HP:0007543	Aumento del grosor de la epidermis cutánea
HP:0007544	Piebaldismo
HP:0007550	Falta de sudoración o sudoración excesiva
HP:0007552	Distribución anormal del tejido adiposo bajo la piel
HP:0007554	Patrón de hipopigmentación confeti de la piel de la parte inferior de la pierna
HP:0007556	Hiperqueratosis plantar
HP:0007559	Hiperqueratosis epidermolítica localizada
HP:0007570	Enfermedad de Flegel
HP:0007573	Eccema infantil de aparición tardía
HP:0007576	Palmar neurofibromas
HP:0007587	Numerosas pecas pigmentadas
HP:0007588	Hiperpigmentación reticulada
HP:0007592	Glándulas sudoríparas ecrinas hipoplásicas-ausentes
HP:0007595	Exceso de piel en la infancia
HP:0007599	Pigmentación marrón reticulada generalizada
HP:0007603	Pecas en las zonas expuestas al sol
HP:0007605	Piel redundante y arrugada de las palmas de las manos
HP:0007609	Edema hipoproteinémico
HP:0007618	Calcificación cutánea
HP:0007623	Pigmentación anormal de la piel expuesta al sol
HP:0007634	Neuropatía óptica isquémica anterior no arterítica
HP:0007648	Opacidades lenticulares puntiformes
HP:0007656	Ausencia de glándula lagrimal
HP:0007665	Pestañas rizadas
HP:0007670	Abnormal vestibuloocular reflex
HP:0007675	Ceguera nocturna progresiva
HP:0007687	Caída de un párpado superior
HP:0007704	Movimientos oculares anormales, paroxísticos
HP:0007707	Agenesia del cristalino
HP:0007708	Pestañas interiores ausentes
HP:0007716	Intraocular melanoma
HP:0007720	Córnea plana
HP:0007721	Aneurismas conjuntivales saculares
HP:0007727	Opacidades corneales superficiales
HP:0007734	Agrandamiento de la glándula lagrimal
HP:0007740	Pestañas largas en hileras irregulares
HP:0007750	Hipoplasia foveal
HP:0007766	Discos ópticos hipoplásicos
HP:0007768	Tortuosidad de los principales vasos retinianos
HP:0007780	Cataratas corticales pulverulentas
HP:0007793	Moteado macular del epitelio pigmentario de la retina
HP:0007818	Heterocromía del iris anular
HP:0007819	Catarata presenil
HP:0007830	Ceguera nocturna del adulto
HP:0007832	Pigmentación de la parte blanca externa del globo ocular
HP:0007834	Catarata progresiva
HP:0007838	Caída progresiva del párpado superior
HP:0007843	Estrechamiento de los vasos sanguíneos de la parte posterior del ojo
HP:0007856	Opacidades corneales puntiformes
HP:0007858	Despigmentación lacunar de la retina
HP:0007859	Nistagmo horizontal congénito
HP:0007873	Líneas de golondrina prominentes
HP:0007889	Cataracts, posterior, subcapsular, iridescent
HP:0007899	Desprendimiento congénito de retina
HP:0007900	Conducto lagrimal subdesarrollado
HP:0007902	Hemorragia vítrea
HP:0007905	Anomalía de los vasos sanguíneos del iris
HP:0007925	Ausencia de conducto lagrimal
HP:0007941	Movimiento extraocular limitado
HP:0007970	Párpado superior caído congénito
HP:0007973	Disgenesia retiniana
HP:0007976	Cataratas, congénitas, cerúleas
HP:0007985	Arteria retiniana obstruida
HP:0007993	Conductos lagrimales malformados
HP:0008002	Cambios pigmentarios maculares
HP:0008003	Persecución suave de la cecina
HP:0008011	Opacidad corneal periférica
HP:0008019	Lente superior subluxada
HP:0008028	Degeneración macular quística
HP:0008031	Posterior Y-sutural cataracts
HP:0008035	Retinosis pigmentaria central
HP:0008045	Potenciales evocados visuales de alto destello
HP:0008047	Anomalía de los vasos sanguíneos oculares
HP:0008048	Anomalía de la línea de Schwalbe
HP:0008052	Pliegues retinianos
HP:0008055	Uvea ausente/subdesarrollada
HP:0008057	Fondo ausente/pequeño
HP:0008059	Mácula ausente/subdesarrollada
HP:0008060	Fóvea ausente/subdesarrollada
HP:0008073	Estriol sérico materno bajo
HP:0008081	Deformidad del pie en valgo
HP:0008083	Huesos del 2º-5º dedo medio del pie subdesarrollados
HP:0008089	Anomalía del 5º hueso largo del pie
HP:0008094	Dedos de los pies muy separados
HP:0008095	Osteólisis del astrágalo
HP:0008111	Dedo gordo distal ancho
HP:0008112	Contracturas de flexión plantar
HP:0008119	Deformación de los huesos del tobillo
HP:0008141	Luxación de los dedos de los pies
HP:0008142	Retraso en la maduración del hueso del talón
HP:0008153	Paresia periódica hipopotasémica
HP:0008161	Ausencia de leucocitos ALP
HP:0008162	Hiperamonemia asintomática
HP:0008169	Factor VII deficiency
HP:0008179	Disminución de la relación Arden de EOG
HP:0008182	Corteza suprarrenal pequeña
HP:0008187	Ausencia de caracteres sexuales secundarios en la pubertad
HP:0008188	Displasia tiroidea
HP:0008191	Hipotiroidismo atiroideo
HP:0008198	Hipoparatiroidismo neonatal
HP:0008202	Prolactin deficiency
HP:0008204	Pubertad precoz con tumor de células de Sertoli
HP:0008208	Agrandamiento de las glándulas paratiroides
HP:0008213	Pituitary gonadotropin deficiency
HP:0008214	Disminución del estradiol sérico
HP:0008221	Glándulas suprarrenales agrandadas
HP:0008222	Infertilidad femenina
HP:0008226	Hipoandrogenismo
HP:0008229	Linfangiectasia tiroidea
HP:0008233	Disminución de la progesterona sérica
HP:0008237	Hipotiroidismo terciario
HP:0008239	Médula suprarrenal pequeña
HP:0008244	Hipoplasia congénita de las glándulas suprarrenales
HP:0008247	Hipertiroxinemia asintomática
HP:0008249	Tiroides grande
HP:0008251	Bocio congénito
HP:0008256	Adrenocortical adenomas
HP:0008275	Electrorretinograma anormal mediado por conos
HP:0008278	Degeneración de la corteza cerebelosa
HP:0008281	Hiperamonemia aguda
HP:0008283	Niveles elevados de insulina en sangre en ayunas
HP:0008301	Excreción de dermatán sulfato en orina
HP:0008305	Mioglobinuria inducida por el ejercicio en adultos
HP:0008314	Deficiencia del complejo respiratorio II
HP:0008316	Mitocondrias anormales en el músculo
HP:0008318	ALP leucocitaria elevada
HP:0008322	Morfología anormal de las mitocondrias
HP:0008323	Electrorretinograma de conos y bastones anormal
HP:0008330	Disminución de la actividad del factor von willebrand
HP:0008341	Acidosis tubular renal, tipo I
HP:0008347	Deficiencia del complejo respiratorio IV
HP:0008352	Deterioro de la adhesión de trombocitos
HP:0008358	Prolinemia
HP:0008364	Hueso del talón anormal
HP:0008365	Hueso grande anormal del tobillo
HP:0008373	Pubertad y trastornos gonadales
HP:0008376	Habla con dificultad
HP:0008383	Uñas de crecimiento lento
HP:0008391	Mala formación de las uñas
HP:0008394	Malformaciones congénitas de las uñas
HP:0008396	Infección fúngica de la uña
HP:0008399	Piel gruesa alrededor de las uñas
HP:0008400	Desprendimiento de las uñas más externas
HP:0008401	Crecimiento excesivo y curvatura de las uñas de los pies
HP:0008407	Uña del pulgar muy curvada
HP:0008417	Vértebras subdesarrolladas
HP:0008424	5ª vértebra lumbar subdesarrollada
HP:0008428	Fisuras vertebrales
HP:0008430	Protrusión lingual anterior de los cuerpos vertebrales lumbares
HP:0008438	Anomalías del arco vertebral
HP:0008444	Cuña posterior
HP:0008445	Canal espinal cervical estrecho
HP:0008457	Estrechamiento caudal de las distancias interpediculares
HP:0008460	Procesos espinales subdesarrollados
HP:0008465	Ausencia de vértebras
HP:0008467	Hemivértebras torácicas medias
HP:0008470	Estrechez de las distancias interpediculares en las regiones torácicas inferiores
HP:0008476	placa terminal irregular y densa
HP:0008484	Distancia interpedicular toracolumbar estrecha
HP:0008486	Disminución de la distancia interpedicular de las vértebras lumbares
HP:0008489	Espondilolisis y espondilolistesis de l5
HP:0008494	Cristalino inferior subluxado
HP:0008504	Sordera neural moderada
HP:0008537	Hendidura en la porción superior de la oreja
HP:0008541	Orejas de implantación alta
HP:0008542	Pérdida auditiva de baja frecuencia
HP:0008559	Hélices superiores subdesarrolladas
HP:0008568	Vestibular ataxia
HP:0008573	Hipoacusia neurosensorial de baja frecuencia
HP:0008577	Hélices mal plegadas
HP:0008587	Hipoacusia neurosensorial leve
HP:0008589	Hélices subdesarrolladas
HP:0008598	Hipoacusia conductiva leve
HP:0008605	Oreja externa deformada en un lado
HP:0008607	Sordera de transmisión progresiva
HP:0008610	Hipoacusia neurosensorial infantil
HP:0008628	Anomalías estapediales
HP:0008639	Gónada subdesarrollada
HP:0008652	Impotencia por disfunción autonómica
HP:0008660	Disgenesia tubular renal
HP:0008661	Estrechamiento de la uretra
HP:0008668	46,xy disgenesia gonadal
HP:0008675	Ovarios agrandados con quistes
HP:0008677	Nefrosis congénita
HP:0008689	Criptorquidia bilateral
HP:0008695	Nefrosis transitoria
HP:0008707	Escroto ausente
HP:0008711	Hipertrofia prostática benigna
HP:0008716	Fístulas uretrovaginales
HP:0008723	Disgenesia gonadal femenina Xy
HP:0008729	Ausencia de labios vaginales
HP:0008730	Machos con genitales externos femeninos
HP:0008736	Pene subdesarrollado
HP:0008738	Riñón parcialmente duplicado
HP:0008740	Tabique vaginal vertical
HP:0008743	Hipospadias subcoronal
HP:0008749	Laringe hipoplásica
HP:0008752	Deficiencia vocal, grave, debida a anomalías del cartílago laríngeo
HP:0008753	Ausencia de epiglotis
HP:0008754	Calcificaciones laríngeas
HP:0008757	Parálisis unilateral de las cuerdas vocales
HP:0008763	Sin interacción social
HP:0008767	Automutilación de lengua y labios por movimientos involuntarios
HP:0008775	Anomalía de la próstata
HP:0008777	Anomalía de las cuerdas vocales
HP:0008783	Metáfisis ancha del fémur más interno
HP:0008784	Extremo ancho del hueso más interno del muslo
HP:0008794	Alas ilíacas displásicas
HP:0008800	Movimiento limitado de la cadera
HP:0008801	Hipoplasia del trocánter menor
HP:0008804	Cabeza ancha del fémur
HP:0008818	Alas ilíacas grandes
HP:0008820	Ausencia de osificación de la epífisis de la cabeza del fémur
HP:0008822	Rama isquiopúbica hipoplásica
HP:0008823	Rama inferior del pubis hipoplásica
HP:0008829	Retraso en la maduración de la cabeza del fémur
HP:0008830	Rama púbica hipoplásica
HP:0008838	Calcificaciones moteadas en la parte final del hueso largo más interno de la parte superior del brazo.
HP:0008843	Osteoartritis de cadera
HP:0008855	Retraso moderado del crecimiento en niños
HP:0008857	Enanismo de tronco corto identificable al nacer
HP:0008883	Deficiencia de crecimiento prenatal leve
HP:0008887	Pérdida de tejido adiposo
HP:0008915	Obesidad troncal aparente en la infancia
HP:0008942	Rabdomiólisis aguda
HP:0008946	Amiotrofia de la cintura escapular
HP:0008952	Músculo del hombro subdesarrollado
HP:0008953	Hipoplasia del músculo pectoral mayor
HP:0008988	Pérdida de masa muscular de la cintura pélvica
HP:0008994	Debilidad muscular, proximal, miembros inferiores
HP:0009003	Aumento de la grasa debajo de la piel en el tronco
HP:0009005	Debilidad muscular intrínseca de la mano
HP:0009016	Subdesarrollo de los músculos de las extremidades superiores
HP:0009017	Pérdida de tejido adiposo debajo de la piel en las nalgas
HP:0009023	Musculatura abdominal laxa
HP:0009028	Debilidad generalizada de los músculos de las extremidades
HP:0009045	Rabdomiólisis con el ejercicio
HP:0009046	Dificultad para correr
HP:0009049	Peroneal atrophy
HP:0009050	Desgaste de los músculos del cuádriceps
HP:0009056	Pérdida de tejido adiposo bajo la piel de los miembros superiores
HP:0009059	Lipodistrofia congénita generalizada
HP:0009072	Hiporreflexia en las articulaciones del tobillo
HP:0009073	Debilidad muscular, progresiva, proximal
HP:0009087	Colocación posterior de la lengua
HP:0009098	Candidiasis oral crónica
HP:0009100	Proceso alveolar anterior grueso de la mandíbula
HP:0009101	Hendidura labial submucosa
HP:0009105	Maduración anormal del hueso púbico
HP:0009107	Maduración anormal de la cabeza y el cuello del fémur
HP:0009110	Eventración del diafragma
HP:0009119	Seno frontal anormalmente pequeño
HP:0009121	Anomalía del esqueleto axial
HP:0009125	Incapacidad para producir y mantener tejido adiposo sano
HP:0009129	Amiotrofia de los miembros superiores
HP:0009132	Anomalía de la densidad mineral ósea que afecta a los huesos del tarso
HP:0009136	Duplicación que afecta a los huesos de los pies
HP:0009138	Fusión de los huesos de los miembros inferiores
HP:0009140	Fusión de los huesos del pie
HP:0009141	Agotamiento del adn mitocondrial en el tejido muscular esquelético
HP:0009142	Duplicación de los huesos de las extremidades superiores
HP:0009171	Parte final triangular del hueso largo de la mano
HP:0009174	Anomalía de la parte final del dedo anular
HP:0009189	Fragmentación de la parte final del hueso largo de la mano
HP:0009190	Parte final irregular del hueso largo de la mano
HP:0009191	Aumento de la densidad ósea de la parte final del hueso largo de las manos
HP:0009194	Parte terminal pequeña del hueso largo de la mano
HP:0009214	Ausencia de la parte final del hueso medio del dedo anular
HP:0009215	Parte final en forma de corchete del hueso medio del dedo anular
HP:0009216	Extremidad cónica del hueso medio del dedo anular
HP:0009217	Agrandamiento de la parte final del hueso medio del dedo anular
HP:0009218	Fragmentación de la parte final del hueso medio del dedo anular
HP:0009219	Parte final irregular del hueso medio del dedo anular
HP:0009220	Aumento de la densidad ósea de la parte final del hueso del dedo anular medio
HP:0009222	Pequeña parte final del hueso medio del dedo anular
HP:0009223	Calcificaciones moteadas en la parte final del hueso medio del dedo anular
HP:0009247	Anomalía de la parte final del hueso medio del dedo anular
HP:0009248	Anomalía de la parte final del hueso más interno del dedo anular
HP:0009249	Anomalía de la parte final del hueso más externo del dedo anular
HP:0009250	Ausencia de la parte final del hueso más externo del dedo anular
HP:0009251	Extremidad en forma de corchete del hueso más externo del dedo anular
HP:0009252	Extremidad cónica del hueso más externo del dedo anular
HP:0009253	Agrandamiento de la parte final del hueso más externo del dedo anular
HP:0009254	Fragmentación de la parte final del hueso más externo del dedo anular
HP:0009255	Parte terminal irregular del hueso más externo del dedo anular
HP:0009256	Aumento de la densidad ósea de la parte final del hueso más externo del dedo anular
HP:0009258	Pequeña parte terminal del hueso más externo del dedo anular
HP:0009259	Calcificaciones moteadas en la parte final del hueso más externo del dedo anular.
HP:0009261	Ausencia de la parte final del hueso más interno del dedo anular
HP:0009263	Extremidad cónica del hueso más interno del dedo anular
HP:0009264	Extremo agrandado del hueso más interno del dedo anular
HP:0009265	Fragmentación de la parte final del hueso más interno del dedo anular
HP:0009266	Parte final irregular del hueso más interno del dedo anular
HP:0009267	Aumento de la densidad ósea de la parte final del hueso más interno del dedo anular
HP:0009269	Pequeña parte terminal del hueso más interno del dedo anular
HP:0009270	Calcificaciones moteadas en la parte final del hueso más interno del dedo anular
HP:0009273	Desviación del dedo anular
HP:0009274	Contracturas articulares del cuarto dedo
HP:0009278	Desviación cubital del dedo anular
HP:0009279	Desviación radial del dedo anular
HP:0009281	Dedo anular ausente
HP:0009282	Anomalía del hueso más externo del dedo anular
HP:0009285	Hueso del dedo anular curvado
HP:0009286	Hueso del dedo anular más externo curvado
HP:0009287	Hueso del dedo anular medio curvado
HP:0009288	Hueso del dedo anular interno curvado
HP:0009291	Ausencia del hueso más externo del dedo anular
HP:0009293	Hueso medio ancho del 4º dedo
HP:0009296	Hueso medio del 4º dedo en forma de bala
HP:0009298	Ausencia del hueso más interno del dedo anular
HP:0009302	Hueso más externo del dedo anular en forma de bala
HP:0009304	Aumento desigual de la densidad ósea en el hueso más externo del dedo anular.
HP:0009306	Hueso más externo del dedo anular, de forma triangular
HP:0009307	Aumento desigual de la densidad ósea en el hueso medio del dedo anular.
HP:0009308	Fusión del hueso medio del dedo anular
HP:0009309	Hueso medio del dedo anular de forma triangular
HP:0009310	Hueso más interno del dedo anular
HP:0009311	Hueso más interno del dedo anular en forma de bala
HP:0009313	Aumento desigual de la densidad ósea en el hueso más interno del dedo anular.
HP:0009314	Fusión del hueso más interno del dedo anular
HP:0009317	Dedo corazón desviado
HP:0009319	Camptodactilia del dedo corazón
HP:0009320	Anomalía de la parte final del hueso medio del dedo medio
HP:0009321	Ausencia de la parte final del hueso medio del dedo medio
HP:0009322	Parte final del hueso medio del dedo medio en forma de corchete
